,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,station_id,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,1904,2404,4308,0.5580046403712297,34.040599799999995,-118.25384,38,39,0.5063291139240507,13,18,0.5757575757575758,9,10,0.5238095238095238,23,6,0.22580645161290322,8,24,0.7352941176470589,7,22,0.7419354838709677,39,25,0.3939393939393939,30,162,0.8402061855670103,57,249,0.8116883116883117,83,220,0.7245901639344262,52,71,0.576,73,130,0.6390243902439025,124,118,0.48770491803278687,126,201,0.6139817629179332,95,137,0.5897435897435898,84,105,0.5549738219895288,124,128,0.5078740157480315,185,150,0.44807121661721067,206,188,0.4772727272727273,215,129,0.37572254335260113,124,110,0.4703389830508475,86,62,0.42,51,57,0.5272727272727272,52,43,0.4536082474226804,258,313,0.5479930191972077,286,357,0.5550387596899224,309,404,0.5664335664335665,291,384,0.568685376661743,321,399,0.554016620498615,200,250,0.5553097345132744,239,297,0.5539033457249071,3005,77,31,19,29,32,29,64,192,306,303,123,203,242,327,232,189,252,335,394,344,234,148,108,95,571,643,713,675,720,450,536
3006,1317,1378,2695,0.5113088616981831,34.045539899999994,-118.25667,20,30,0.5961538461538461,10,19,0.6451612903225806,6,3,0.36363636363636365,3,13,0.7777777777777778,1,3,0.6666666666666666,5,4,0.45454545454545453,13,21,0.6111111111111112,48,26,0.35526315789473684,52,35,0.4044943820224719,34,38,0.527027027027027,58,44,0.4326923076923077,60,83,0.5793103448275863,100,104,0.5097087378640777,112,101,0.4744186046511628,90,63,0.4129032258064516,67,77,0.5342465753424658,66,98,0.5963855421686747,89,106,0.5431472081218274,112,100,0.4719626168224299,100,124,0.5530973451327433,102,111,0.5209302325581395,87,76,0.4666666666666667,56,51,0.47706422018348627,26,48,0.6447368421052632,189,174,0.4794520547945205,175,196,0.5281501340482574,177,209,0.5412371134020618,208,216,0.5093896713615024,199,180,0.47506561679790027,168,177,0.5129682997118156,201,226,0.5291375291375291,3006,50,29,9,16,4,9,34,74,87,72,102,143,204,213,153,144,164,195,212,224,213,163,107,74,363,371,386,424,379,345,427
3007,1098,846,1944,0.4352517985611511,34.0437317,-118.26013999999999,5,6,0.5384615384615384,3,2,0.42857142857142855,2,1,0.4,4,3,0.4444444444444444,1,1,0.5,0,9,0.9090909090909091,7,13,0.6363636363636364,22,47,0.676056338028169,33,35,0.5142857142857142,37,100,0.7266187050359713,31,52,0.6235294117647059,56,78,0.5808823529411765,83,61,0.4246575342465753,110,79,0.418848167539267,89,66,0.4267515923566879,96,43,0.3120567375886525,87,71,0.45,103,51,0.3333333333333333,118,59,0.33519553072625696,76,41,0.35294117647058826,63,15,0.2,40,4,0.10869565217391304,23,6,0.22580645161290322,9,3,0.2857142857142857,150,119,0.44280442804428044,164,139,0.45901639344262296,177,117,0.39864864864864863,172,143,0.45425867507886436,171,134,0.43973941368078173,127,106,0.4553191489361702,137,88,0.3920704845814978,3007,11,5,3,7,2,9,20,69,68,137,83,134,144,189,155,139,158,154,177,117,78,44,29,12,269,303,294,315,305,233,225
3008,921,953,1874,0.5085287846481876,34.0447006,-118.25243999999999,34,21,0.38596491228070173,17,9,0.35714285714285715,11,11,0.5,1,10,0.8461538461538461,5,40,0.8723404255319149,4,7,0.6153846153846154,16,40,0.7068965517241379,17,78,0.8144329896907216,22,26,0.54,37,51,0.5777777777777777,45,32,0.4177215189873418,88,41,0.32061068702290074,69,55,0.4444444444444444,38,54,0.5851063829787234,44,46,0.5108695652173914,41,47,0.5333333333333333,63,49,0.43859649122807015,57,67,0.5396825396825397,82,61,0.42758620689655175,53,49,0.4807692307692308,36,51,0.5842696629213483,55,51,0.48148148148148145,45,27,0.3783783783783784,41,30,0.4246575342465753,137,124,0.4752851711026616,134,152,0.53125,123,134,0.5212355212355212,127,116,0.4775510204081633,150,171,0.5325077399380805,125,122,0.4939759036144578,125,134,0.5172413793103449,3008,55,26,22,11,45,11,56,95,48,88,77,129,124,92,90,88,112,124,143,102,87,106,72,71,261,286,257,243,321,247,259
3010,223,197,420,0.46919431279620855,34.037048299999995,-118.25487,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,0,0.3333333333333333,0,0,0.5,4,0,0.16666666666666666,1,3,0.6666666666666666,5,43,0.88,7,28,0.7837837837837838,8,5,0.4,6,16,0.7083333333333334,11,21,0.6470588235294118,8,12,0.5909090909090909,24,16,0.40476190476190477,25,22,0.46938775510204084,21,24,0.5319148936170213,55,1,0.034482758620689655,44,4,0.1,1,2,0.6,0,0,0.5,1,0,0.3333333333333333,0,0,0.5,1,0,0.3333333333333333,30,34,0.5303030303030303,36,30,0.45588235294117646,40,30,0.4305555555555556,32,30,0.484375,45,47,0.5106382978723404,21,12,0.37142857142857144,19,14,0.42857142857142855,3010,0,0,0,0,1,0,4,4,48,35,13,22,32,20,40,47,45,56,48,3,0,1,0,1,64,66,70,62,92,33,33
3011,457,516,973,0.5302564102564102,34.041130100000004,-118.26798000000001,14,8,0.375,7,10,0.5789473684210527,0,6,0.875,0,0,0.5,2,1,0.4,0,2,0.75,15,2,0.15789473684210525,25,12,0.3333333333333333,8,11,0.5714285714285714,24,36,0.5967741935483871,12,24,0.6578947368421053,30,24,0.44642857142857145,25,33,0.5666666666666667,36,23,0.39344262295081966,14,27,0.6511627906976745,30,40,0.5694444444444444,13,29,0.6818181818181818,52,37,0.4175824175824176,32,46,0.5875,23,48,0.6712328767123288,25,36,0.5873015873015873,23,28,0.5471698113207547,27,20,0.42857142857142855,20,13,0.4,48,55,0.5333333333333333,59,71,0.5454545454545454,67,66,0.4962962962962963,67,60,0.4728682170542636,75,89,0.5421686746987951,89,108,0.5477386934673367,52,67,0.5619834710743802,3011,22,17,6,0,3,2,17,37,19,60,36,54,58,59,41,70,42,89,78,71,61,51,47,33,103,130,133,127,164,197,119
3014,2055,2401,4456,0.5388066397487663,34.0566101,-118.23721,14,27,0.6511627906976745,9,4,0.3333333333333333,11,13,0.5384615384615384,1,3,0.6666666666666666,2,14,0.8333333333333334,12,13,0.5185185185185185,168,50,0.2318181818181818,262,70,0.2125748502994012,236,31,0.11895910780669144,128,61,0.32460732984293195,79,81,0.5061728395061729,170,60,0.2629310344827586,116,143,0.5517241379310345,68,168,0.7100840336134454,91,136,0.5982532751091703,69,164,0.7021276595744681,72,372,0.8363228699551569,100,401,0.7992047713717694,159,272,0.6304849884526559,80,96,0.5449438202247191,56,93,0.6225165562913907,50,40,0.44565217391304346,59,58,0.4957983193277311,43,31,0.42105263157894735,284,307,0.5193929173693086,362,376,0.5094594594594595,364,430,0.5414572864321608,374,464,0.5535714285714286,378,421,0.5268414481897628,172,233,0.5749385749385749,121,170,0.5836177474402731,3014,41,13,24,4,16,25,218,332,267,189,160,230,259,236,227,233,444,501,431,176,149,90,117,74,591,738,794,838,799,405,291
3016,944,942,1886,0.4994703389830508,34.0528984,-118.24156,6,2,0.3,13,4,0.2631578947368421,0,1,0.6666666666666666,0,13,0.9333333333333333,0,0,0.5,1,2,0.6,8,44,0.8333333333333334,40,93,0.6962962962962963,30,148,0.8277777777777777,36,105,0.7412587412587412,33,33,0.5,91,41,0.31343283582089554,123,98,0.4439461883408072,65,104,0.6140350877192983,36,53,0.5934065934065934,63,30,0.3263157894736842,130,26,0.17088607594936708,144,73,0.3378995433789954,69,33,0.3269230769230769,30,13,0.3111111111111111,4,11,0.7058823529411765,9,6,0.4117647058823529,6,8,0.5625,7,1,0.2,138,127,0.4794007490636704,183,201,0.5233160621761658,165,165,0.5,207,211,0.5047619047619047,189,181,0.489247311827957,32,29,0.47619047619047616,30,28,0.48333333333333334,3016,8,17,1,13,0,3,52,133,178,141,66,132,221,169,89,93,156,217,102,43,15,15,14,8,265,384,330,418,370,61,58
3018,571,603,1174,0.5136054421768708,34.0437317,-118.26013999999999,16,11,0.41379310344827586,8,9,0.5263157894736842,8,8,0.5,1,0,0.3333333333333333,1,0,0.3333333333333333,6,3,0.36363636363636365,5,5,0.5,18,13,0.42424242424242425,21,16,0.4358974358974359,14,27,0.6511627906976745,17,18,0.5135135135135135,19,39,0.6666666666666666,48,36,0.43023255813953487,42,53,0.5567010309278351,36,39,0.5194805194805194,34,33,0.4927536231884058,35,44,0.5555555555555556,38,46,0.5465116279069767,58,45,0.4380952380952381,44,34,0.4375,36,48,0.5697674418604651,32,44,0.5769230769230769,14,18,0.5588235294117647,20,14,0.4166666666666667,71,86,0.5471698113207547,79,84,0.5151515151515151,62,87,0.5827814569536424,90,93,0.5081081081081081,82,91,0.5257142857142857,112,106,0.4863636363636364,75,56,0.42857142857142855,3018,27,17,16,1,1,9,10,31,37,41,35,58,84,95,75,67,79,84,103,78,84,76,32,34,157,163,149,183,173,218,131
3019,856,983,1839,0.534492123845736,34.0420609,-118.26338,1,2,0.6,1,4,0.7142857142857143,3,4,0.5555555555555556,1,0,0.3333333333333333,2,1,0.4,0,9,0.9090909090909091,1,78,0.9753086419753086,9,117,0.921875,41,123,0.7469879518072289,45,49,0.5208333333333334,29,51,0.6341463414634146,105,52,0.3333333333333333,83,97,0.5384615384615384,58,81,0.5815602836879432,94,89,0.4864864864864865,69,58,0.4573643410852713,112,37,0.25165562913907286,63,64,0.5038759689922481,43,21,0.3333333333333333,52,17,0.2535211267605634,19,5,0.23076923076923078,17,11,0.4,8,10,0.55,0,3,0.8,84,123,0.5933014354066986,166,189,0.5322128851540616,158,189,0.5444126074498568,188,225,0.5445783132530121,197,189,0.4896907216494845,31,31,0.5,32,37,0.5352112676056338,3019,3,5,7,1,3,9,79,126,164,94,80,157,180,139,183,127,149,127,64,69,24,28,18,3,207,355,347,413,386,62,69
