,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,station_id,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,3615,4630,8245,0.561537528798351,34.040599799999995,-118.25384,61,64,0.5118110236220472,33,29,0.46875,43,17,0.2903225806451613,50,17,0.2608695652173913,20,29,0.5882352941176471,17,39,0.6896551724137931,67,60,0.4728682170542636,48,330,0.8710526315789474,84,554,0.8671875,131,475,0.7828947368421053,105,163,0.6074074074074074,158,238,0.6005025125628141,250,244,0.4939516129032258,233,330,0.5858407079646017,190,272,0.5883620689655172,173,219,0.5583756345177665,212,246,0.5369565217391304,356,265,0.42696629213483145,417,353,0.4585492227979275,386,204,0.34628378378378377,234,188,0.44575471698113206,145,108,0.42745098039215684,112,101,0.4744186046511628,90,85,0.4858757062146893,497,644,0.5643044619422573,550,716,0.5654574132492114,593,781,0.5683139534883721,572,764,0.5717488789237668,582,774,0.5706921944035346,387,466,0.5461988304093567,434,485,0.5276872964169381,3005,125,62,60,67,49,56,127,378,638,606,268,396,494,563,462,392,458,621,770,590,422,253,213,175,1141,1266,1374,1336,1356,853,919
3006,2100,2239,4339,0.516010135913384,34.045539899999994,-118.25667,37,47,0.5581395348837209,20,33,0.6181818181818182,20,15,0.43243243243243246,4,15,0.7619047619047619,4,11,0.7058823529411765,10,5,0.35294117647058826,28,35,0.5538461538461539,57,39,0.40816326530612246,98,69,0.41420118343195267,68,58,0.4609375,88,67,0.43312101910828027,88,121,0.5781990521327014,162,170,0.5119760479041916,172,150,0.4660493827160494,147,111,0.4307692307692308,127,129,0.5038759689922481,125,160,0.5609756097560976,137,202,0.5953079178885631,165,184,0.5270655270655271,140,190,0.5753012048192772,143,179,0.5555555555555556,137,105,0.4344262295081967,81,78,0.4906832298136646,42,66,0.6090909090909091,291,276,0.4868189806678383,280,336,0.5453074433656958,295,339,0.5345911949685535,317,335,0.5137614678899083,312,304,0.4935275080906149,298,313,0.5122349102773246,307,336,0.5224806201550387,3006,84,53,35,19,15,15,63,96,167,126,155,209,332,322,258,256,285,339,349,330,322,242,159,108,567,616,634,652,616,611,643
3007,1947,1458,3405,0.42823598473730556,34.0437317,-118.26013999999999,8,9,0.5263157894736842,8,5,0.4,4,1,0.2857142857142857,5,4,0.45454545454545453,1,1,0.5,0,12,0.9285714285714286,13,17,0.5625,42,65,0.6055045871559633,50,56,0.5277777777777778,51,170,0.7668161434977578,58,105,0.6424242424242425,102,149,0.5928853754940712,170,115,0.40418118466898956,207,137,0.3988439306358382,156,115,0.4249084249084249,158,80,0.3375,159,114,0.41818181818181815,183,95,0.34285714285714286,196,86,0.30633802816901406,129,57,0.30851063829787234,113,24,0.17985611510791366,72,13,0.16091954022988506,43,19,0.3125,19,9,0.3333333333333333,271,204,0.429769392033543,292,233,0.444022770398482,329,225,0.4064748201438849,304,247,0.4484629294755877,285,215,0.4302788844621514,240,195,0.448512585812357,226,139,0.3814713896457766,3007,17,13,5,9,2,12,30,107,106,221,163,251,285,344,271,238,273,278,282,186,137,85,62,28,475,525,554,551,500,435,365
3008,1582,1689,3271,0.5163458600672166,34.0447006,-118.25243999999999,74,31,0.29906542056074764,28,29,0.5084745762711864,24,25,0.5098039215686274,9,11,0.5454545454545454,8,70,0.8875,6,9,0.5882352941176471,17,77,0.8125,23,129,0.8441558441558441,37,59,0.6122448979591837,55,69,0.5555555555555556,65,64,0.4961832061068702,129,67,0.3434343434343434,117,100,0.4611872146118721,90,119,0.5687203791469194,83,96,0.5359116022099447,79,86,0.5209580838323353,102,79,0.4371584699453552,123,102,0.45374449339207046,116,113,0.4935064935064935,81,103,0.5591397849462365,73,73,0.5,94,80,0.4602272727272727,80,53,0.4,69,45,0.39655172413793105,235,225,0.48917748917748916,222,271,0.5494949494949495,201,226,0.5291375291375291,210,217,0.5081585081585082,243,284,0.5387523629489603,230,221,0.4900662251655629,241,245,0.5040983606557377,3008,105,57,49,20,78,15,94,152,96,124,129,196,217,209,179,165,181,225,229,184,146,174,133,114,460,493,427,427,527,451,486
3010,378,338,716,0.47214484679665736,34.037048299999995,-118.25487,0,0,0.5,2,0,0.25,0,2,0.75,0,0,0.5,1,0,0.3333333333333333,0,0,0.5,5,0,0.14285714285714285,9,3,0.2857142857142857,7,75,0.9047619047619048,9,37,0.7916666666666666,15,13,0.4666666666666667,13,26,0.6585365853658537,19,33,0.6296296296296297,19,23,0.5454545454545454,34,26,0.43548387096774194,39,40,0.5061728395061729,40,40,0.5,97,9,0.09259259259259259,64,6,0.09722222222222222,1,4,0.7142857142857143,0,1,0.6666666666666666,1,0,0.3333333333333333,0,0,0.5,3,0,0.2,60,64,0.5158730158730159,57,52,0.4774774774774775,69,56,0.44881889763779526,61,52,0.4608695652173913,70,69,0.49645390070921985,39,28,0.42028985507246375,22,17,0.43902439024390244,3010,0,2,2,0,1,0,5,12,82,46,28,39,52,42,60,79,80,106,70,5,1,1,0,3,124,109,125,113,139,67,39
3011,875,1066,1941,0.5491507977354606,34.041130100000004,-118.26798000000001,17,9,0.35714285714285715,16,12,0.43333333333333335,4,11,0.7058823529411765,2,5,0.6666666666666666,3,2,0.42857142857142855,1,2,0.6,37,15,0.2962962962962963,48,45,0.4842105263157895,24,34,0.5833333333333334,32,49,0.6024096385542169,35,52,0.5955056179775281,53,58,0.5221238938053098,57,63,0.5245901639344263,66,65,0.49624060150375937,39,78,0.6638655462184874,51,80,0.6090225563909775,51,72,0.584,73,77,0.5131578947368421,65,78,0.5448275862068965,36,93,0.7175572519083969,39,48,0.550561797752809,37,52,0.5824175824175825,51,39,0.43478260869565216,38,27,0.417910447761194,107,117,0.5221238938053098,107,134,0.5555555555555556,127,142,0.5276752767527675,120,134,0.52734375,148,173,0.5386996904024768,151,218,0.5902964959568733,115,148,0.5622641509433962,3011,26,28,15,7,5,3,52,93,58,81,87,111,120,131,117,131,123,150,143,129,87,89,90,65,224,241,269,254,321,369,263
3014,3513,4100,7613,0.5385423506237689,34.0566101,-118.23721,36,33,0.4788732394366197,14,21,0.5945945945945946,13,27,0.6666666666666666,2,4,0.625,3,19,0.8333333333333334,32,34,0.5147058823529411,249,76,0.23547400611620795,500,128,0.20476190476190476,421,72,0.14747474747474748,239,120,0.33518005540166207,146,122,0.45555555555555555,262,124,0.32216494845360827,210,218,0.5093023255813953,129,275,0.6798029556650246,165,238,0.5901234567901235,139,282,0.6690307328605201,119,648,0.8439531859557867,202,799,0.7976071784646062,236,404,0.6308411214953271,101,140,0.5802469135802469,83,139,0.625,85,65,0.4342105263157895,83,72,0.46496815286624205,44,40,0.47674418604651164,512,572,0.5276243093922652,642,677,0.5132475397426193,650,756,0.5376420454545454,626,761,0.5485961123110151,606,701,0.5362872421695951,257,358,0.5818476499189628,220,275,0.5553319919517102,3014,69,35,40,6,22,66,325,628,493,359,268,386,428,404,403,421,767,1001,640,241,222,150,155,84,1084,1319,1406,1387,1307,615,495
3016,1615,1592,3207,0.496416329074478,34.0528984,-118.24156,6,2,0.3,47,4,0.09433962264150944,2,15,0.8421052631578947,0,27,0.9655172413793104,0,1,0.6666666666666666,2,3,0.5714285714285714,17,58,0.7662337662337663,50,176,0.7763157894736842,53,242,0.8181818181818182,58,171,0.7445887445887446,67,70,0.5107913669064749,162,69,0.30042918454935624,196,166,0.45879120879120877,110,157,0.587360594795539,72,91,0.5575757575757576,109,51,0.32098765432098764,210,76,0.2673611111111111,266,116,0.3046875,107,46,0.3032258064516129,40,19,0.32786885245901637,7,16,0.68,15,7,0.3333333333333333,9,8,0.47368421052631576,10,1,0.15384615384615385,223,214,0.489749430523918,329,350,0.5154185022026432,303,311,0.5064935064935064,326,344,0.5133928571428571,296,265,0.4724689165186501,79,60,0.4326241134751773,59,48,0.44954128440366975,3016,8,51,17,27,1,5,75,226,295,229,137,231,362,267,163,160,286,382,153,59,23,22,17,11,437,679,614,670,561,139,107
3018,896,989,1885,0.5246422893481717,34.0437317,-118.26013999999999,19,17,0.47368421052631576,9,14,0.6,9,13,0.5833333333333334,1,2,0.6,1,0,0.3333333333333333,13,3,0.2222222222222222,6,6,0.5,24,30,0.5535714285714286,25,23,0.48,25,54,0.6790123456790124,40,40,0.5,47,67,0.5862068965517241,76,72,0.4866666666666667,68,75,0.5241379310344828,54,63,0.5378151260504201,57,56,0.4956521739130435,54,81,0.5985401459854015,58,74,0.5597014925373134,81,76,0.48427672955974843,66,53,0.4462809917355372,50,66,0.5677966101694916,52,57,0.5225225225225225,29,24,0.45454545454545453,32,23,0.42105263157894735,104,141,0.5748987854251012,102,126,0.5521739130434783,108,155,0.5886792452830188,132,145,0.5232974910394266,133,150,0.5298245614035088,177,166,0.48405797101449277,140,106,0.4314516129032258,3018,36,23,22,3,1,16,12,54,48,79,80,114,148,143,117,113,135,132,157,119,116,109,53,55,245,228,263,277,283,343,246
3019,1446,1640,3086,0.5314119170984456,34.0420609,-118.26338,2,3,0.5714285714285714,2,6,0.7,4,5,0.5454545454545454,1,0,0.3333333333333333,2,1,0.4,2,10,0.7857142857142857,1,103,0.9811320754716981,10,170,0.9395604395604396,47,229,0.8273381294964028,58,102,0.6358024691358025,52,78,0.5984848484848485,163,70,0.3021276595744681,152,178,0.5391566265060241,129,164,0.559322033898305,126,140,0.5261194029850746,113,99,0.4672897196261682,175,63,0.26666666666666666,144,85,0.3722943722943723,101,35,0.2608695652173913,82,32,0.28448275862068967,33,16,0.3333333333333333,29,29,0.5,13,14,0.5172413793103449,5,8,0.6,162,203,0.555858310626703,278,330,0.5426229508196722,291,336,0.5357710651828299,307,355,0.536144578313253,292,290,0.4982876712328767,57,57,0.5,59,69,0.5384615384615384,3019,5,8,9,1,3,12,104,180,276,160,130,233,330,293,266,212,238,229,136,114,49,58,27,13,365,608,627,662,582,114,128
3020,429,484,913,0.5300546448087432,34.0310516,-118.26709,2,4,0.625,1,4,0.7142857142857143,0,6,0.875,0,1,0.6666666666666666,0,0,0.5,0,4,0.8333333333333334,2,90,0.9680851063829787,9,20,0.6774193548387096,11,12,0.52,6,14,0.6818181818181818,19,10,0.3548387096774194,32,22,0.4107142857142857,21,36,0.6271186440677966,25,32,0.559322033898305,26,24,0.4807692307692308,68,31,0.31683168316831684,101,32,0.24444444444444444,30,30,0.5,31,26,0.4576271186440678,16,33,0.6666666666666666,11,26,0.6923076923076923,12,12,0.5,4,13,0.7368421052631579,2,2,0.5,49,46,0.4845360824742268,87,96,0.5243243243243243,96,103,0.5174129353233831,69,81,0.5394736842105263,62,67,0.5190839694656488,31,46,0.5949367088607594,35,45,0.5609756097560976,3020,6,5,6,1,0,4,92,29,23,20,29,54,57,57,50,99,133,60,57,49,37,24,17,4,95,183,199,150,129,77,80
3021,1254,1490,2744,0.5429715950473416,34.0456085,-118.23703,32,28,0.46774193548387094,46,28,0.3815789473684211,14,20,0.5833333333333334,9,7,0.4444444444444444,4,2,0.375,2,1,0.4,5,2,0.3333333333333333,22,18,0.4523809523809524,18,26,0.5869565217391305,34,49,0.5882352941176471,24,61,0.7126436781609196,47,74,0.6097560975609756,81,101,0.5543478260869565,96,82,0.46111111111111114,93,73,0.44047619047619047,77,78,0.5031847133757962,81,93,0.5340909090909091,93,109,0.5392156862745098,113,143,0.5581395348837209,89,163,0.6456692913385826,93,124,0.5707762557077626,67,78,0.5374149659863946,76,64,0.45774647887323944,38,66,0.6320754716981132,128,161,0.5567010309278351,147,175,0.5432098765432098,144,161,0.5276872964169381,170,223,0.5670886075949367,185,244,0.568445475638051,251,299,0.5434782608695652,229,227,0.4978165938864629,3021,60,74,34,16,6,3,7,40,44,83,85,121,182,178,166,155,174,202,256,252,217,145,140,104,289,322,305,393,429,550,456
