,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,station_id,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,12514,15047,27561,0.5459492798316584,34.040599799999995,-118.25384,193,171,0.46994535519125685,98,109,0.5263157894736842,140,71,0.3380281690140845,118,37,0.24203821656050956,59,121,0.6703296703296703,58,113,0.6589595375722543,127,279,0.6862745098039216,161,1068,0.8683996750609261,348,1616,0.8224821973550356,385,1286,0.7692767483562463,425,613,0.5903846153846154,543,717,0.5689381933438986,867,868,0.5002878526194589,756,1033,0.5773310999441653,668,778,0.5379834254143646,663,886,0.5718891038039974,750,958,0.5608187134502924,1306,982,0.42925764192139737,1480,1046,0.4141613924050633,1246,753,0.37681159420289856,873,606,0.4098582039162728,572,415,0.4206268958543984,365,309,0.45857988165680474,313,212,0.40417457305502846,1835,2161,0.5407703851925963,1949,2356,0.547248664964012,2011,2492,0.55338512763596,2025,2530,0.5554092604783849,1997,2485,0.5544157002676182,1352,1566,0.5366438356164384,1345,1457,0.5199714693295292,3005,364,207,211,155,180,171,406,1229,1964,1671,1038,1260,1735,1789,1446,1549,1708,2288,2526,1999,1479,987,674,525,3996,4305,4503,4555,4482,2918,2802
3006,5926,6161,12087,0.5097195797832741,34.045539899999994,-118.25667,101,128,0.5584415584415584,72,71,0.496551724137931,60,38,0.39,26,34,0.5645161290322581,36,22,0.38333333333333336,39,17,0.3103448275862069,122,60,0.33152173913043476,115,103,0.4727272727272727,339,173,0.33852140077821014,235,169,0.4187192118226601,221,214,0.4919908466819222,310,303,0.4943089430894309,392,477,0.5487944890929966,473,397,0.45642201834862384,368,312,0.45894428152492667,352,372,0.5137741046831956,345,501,0.5919811320754716,424,567,0.5720040281973817,461,536,0.5375375375375375,377,537,0.5873362445414847,425,476,0.5282392026578073,317,307,0.49201277955271566,198,191,0.49104859335038364,118,156,0.5688405797101449,778,757,0.49316851008458035,790,891,0.5300059417706476,844,893,0.5140885566417481,895,939,0.5119825708061002,867,857,0.49710312862108924,897,932,0.5095576187875478,855,892,0.5105774728416238,3006,229,143,98,60,58,56,182,218,512,404,435,613,869,870,680,724,846,991,997,914,901,624,389,274,1535,1681,1737,1834,1724,1829,1747
3007,6232,4714,10946,0.43067226890756305,34.0437317,-118.26013999999999,40,33,0.4533333333333333,35,17,0.3333333333333333,16,10,0.39285714285714285,10,38,0.78,5,18,0.76,7,32,0.8048780487804879,24,84,0.7727272727272727,76,205,0.7279151943462897,169,362,0.6810506566604128,234,437,0.6508172362555721,185,328,0.6388349514563106,306,364,0.5431547619047619,512,370,0.41968325791855204,576,380,0.3977035490605428,473,356,0.4296028880866426,480,257,0.3491204330175913,500,339,0.4042806183115339,699,294,0.2964824120603015,602,301,0.33370165745856356,451,202,0.3099236641221374,387,115,0.23015873015873015,244,69,0.2222222222222222,135,60,0.3096446700507614,66,43,0.3963963963963964,908,700,0.43540372670807453,1014,789,0.4376731301939058,1034,748,0.4198430493273543,1000,770,0.4351015801354402,963,715,0.4261904761904762,727,557,0.43390357698289267,586,435,0.426197458455523,3007,73,52,26,48,23,39,108,281,531,671,513,670,882,956,829,737,839,993,903,653,502,313,195,109,1608,1803,1782,1770,1678,1284,1021
3008,4806,5076,9882,0.513658437879401,34.0447006,-118.25243999999999,233,74,0.24271844660194175,93,71,0.43373493975903615,60,64,0.5158730158730159,25,34,0.5737704918032787,14,78,0.8404255319148937,22,23,0.5106382978723404,22,165,0.8783068783068783,77,294,0.7908847184986595,103,298,0.7419354838709677,111,230,0.673469387755102,160,205,0.5613079019073569,300,206,0.4074803149606299,403,290,0.418705035971223,243,399,0.6211180124223602,258,403,0.6093514328808446,288,343,0.5434439178515008,295,243,0.45185185185185184,466,316,0.40433673469387754,360,345,0.4893917963224894,250,292,0.5386029411764706,270,249,0.4798464491362764,272,222,0.4495967741935484,282,137,0.32779097387173395,199,95,0.32432432432432434,672,683,0.5040530582166544,660,741,0.5288667141838916,662,692,0.5110619469026548,631,695,0.5240963855421686,740,852,0.5351317440401505,680,687,0.5025566106647188,761,726,0.4882471457353929,3008,307,164,124,59,92,45,187,371,401,341,365,506,693,642,661,631,538,782,705,542,519,494,419,294,1355,1401,1354,1326,1592,1367,1487
3009,55,68,123,0.552,33.987381,-118.47283200000001,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,3,4,0.5555555555555556,11,8,0.42857142857142855,10,3,0.26666666666666666,12,14,0.5357142857142857,14,13,0.4827586206896552,2,13,0.8235294117647058,2,12,0.8125,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,53,66,0.5537190082644629,3009,0,0,0,0,0,0,0,0,2,7,19,13,26,27,15,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,119
3010,818,962,1780,0.5404040404040404,34.037048299999995,-118.25487,3,4,0.5555555555555556,2,2,0.5,2,3,0.5714285714285714,3,0,0.2,1,0,0.3333333333333333,1,0,0.3333333333333333,5,0,0.14285714285714285,12,6,0.35,10,100,0.9017857142857143,25,81,0.7592592592592593,25,39,0.6060606060606061,37,64,0.6310679611650486,57,87,0.6027397260273972,77,86,0.5272727272727272,83,91,0.5227272727272727,103,126,0.5497835497835498,93,108,0.5369458128078818,148,55,0.2731707317073171,90,39,0.3053435114503817,11,28,0.7073170731707317,8,20,0.7,7,11,0.6,3,6,0.6363636363636364,12,6,0.35,112,133,0.5425101214574899,127,154,0.5477031802120141,133,132,0.49812734082397003,116,128,0.524390243902439,136,160,0.540268456375839,110,150,0.5763358778625954,84,105,0.5549738219895288,3010,7,4,5,3,1,1,5,18,110,106,64,101,144,163,174,229,201,203,129,39,28,18,9,18,245,281,265,244,296,260,189
3011,3007,3686,6693,0.5507094846900672,34.041130100000004,-118.26798000000001,42,35,0.45569620253164556,31,47,0.6,18,35,0.6545454545454545,5,20,0.7777777777777778,10,8,0.45,4,3,0.4444444444444444,120,30,0.20394736842105263,154,115,0.4280442804428044,121,180,0.5973597359735974,117,228,0.659942363112392,100,170,0.6286764705882353,227,172,0.4314214463840399,209,239,0.5333333333333333,222,313,0.5847299813780261,189,255,0.5739910313901345,187,263,0.584070796460177,237,240,0.5031315240083507,275,365,0.5700934579439252,177,260,0.5945330296127562,119,225,0.653179190751445,106,146,0.5787401574803149,102,131,0.5617021276595745,157,130,0.4532871972318339,78,76,0.4935897435897436,387,473,0.5498839907192575,418,483,0.5359911406423035,449,553,0.5517928286852589,422,481,0.532596685082873,468,540,0.5356435643564357,459,591,0.5627376425855514,404,565,0.5829042224510813,3011,77,78,53,25,18,7,150,269,301,345,270,399,448,535,444,450,477,640,437,344,252,233,287,154,860,901,1002,903,1008,1050,969
3013,96,100,196,0.51010101010101,33.779819,-118.263023,0,0,0.5,1,0,0.3333333333333333,0,1,0.6666666666666666,0,0,0.5,0,0,0.5,1,1,0.5,0,0,0.5,2,2,0.5,4,2,0.375,10,1,0.15384615384615385,10,4,0.3125,10,5,0.35294117647058826,11,14,0.5555555555555556,4,15,0.7619047619047619,10,5,0.35294117647058826,9,19,0.6666666666666666,5,7,0.5714285714285714,1,7,0.8,4,2,0.375,8,11,0.5714285714285714,5,1,0.25,0,3,0.8,1,0,0.3333333333333333,0,0,0.5,4,6,0.5833333333333334,4,3,0.4444444444444444,8,11,0.5714285714285714,12,4,0.2777777777777778,10,8,0.45,4,9,0.6666666666666666,54,59,0.5217391304347826,3013,0,1,1,0,0,2,0,4,6,11,14,15,25,19,15,28,12,8,6,19,6,3,1,0,10,7,19,16,18,13,113
3014,10063,11451,21514,0.5322550659973972,34.0566101,-118.23721,72,68,0.4859154929577465,56,69,0.5511811023622047,27,63,0.6956521739130435,20,27,0.5714285714285714,33,38,0.5342465753424658,130,80,0.38207547169811323,751,192,0.20423280423280424,1324,410,0.2367511520737327,1336,357,0.2112094395280236,792,379,0.32395566922421143,453,314,0.4096228868660598,559,328,0.3700787401574803,535,513,0.4895238095238095,390,750,0.6576182136602452,395,666,0.6274694261523989,382,887,0.6986624704956726,429,1986,0.8220935043442283,621,2130,0.7740646567381039,695,1050,0.6016027475672582,338,401,0.5425101214574899,219,311,0.5864661654135338,198,159,0.4456824512534819,191,166,0.46518105849582175,117,107,0.4778761061946903,1517,1720,0.5313368323556653,1809,1935,0.5168179391350775,1873,2126,0.5316170957260685,1882,2064,0.5230496453900709,1645,1847,0.5289066971951918,711,981,0.5796930342384888,626,778,0.5540540540540541,3014,140,125,90,47,71,210,943,1734,1693,1171,767,887,1048,1140,1061,1269,2415,2751,1745,739,530,357,357,224,3237,3744,3999,3946,3492,1692,1404
3016,3279,3073,6352,0.48378973874724585,34.0528984,-118.24156,15,6,0.30434782608695654,79,8,0.10112359550561797,4,28,0.8529411764705882,0,37,0.9743589743589743,1,2,0.6,7,14,0.6521739130434783,35,74,0.6756756756756757,104,263,0.7154471544715447,109,382,0.7768762677484787,128,297,0.6978922716627635,111,136,0.5502008032128514,300,157,0.3442265795206972,335,300,0.4725274725274725,228,269,0.5410821643286573,170,202,0.5427807486631016,232,128,0.356353591160221,406,207,0.3382113821138211,474,248,0.34392265193370164,256,135,0.3460559796437659,126,75,0.37438423645320196,47,43,0.4782608695652174,40,35,0.4675324675324675,43,23,0.35294117647058826,29,4,0.14285714285714285,457,430,0.484814398200225,603,618,0.5061324611610794,609,608,0.4995898277276456,650,631,0.49259547934528447,596,524,0.4679144385026738,191,155,0.4482758620689655,173,107,0.3829787234042553,3016,21,87,32,37,3,21,109,367,491,425,247,457,635,497,372,360,613,722,391,201,90,75,66,33,887,1221,1217,1281,1120,346,280
