,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,station_id,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,7240,9068,16308,0.5560392397302268,34.040599799999995,-118.25384,95,97,0.5051546391752577,55,62,0.5294117647058824,100,36,0.26811594202898553,91,25,0.22033898305084745,46,75,0.6178861788617886,27,68,0.711340206185567,92,124,0.573394495412844,93,697,0.8813131313131313,171,1051,0.8594771241830066,235,905,0.7933450087565674,231,355,0.6054421768707483,286,423,0.5963431786216596,526,498,0.48635477582846004,441,642,0.5926267281105991,398,464,0.5381944444444444,377,470,0.5547703180212014,447,576,0.5629268292682926,728,515,0.41445783132530123,836,672,0.4456953642384106,769,392,0.3379191745485813,502,343,0.40613931523022434,301,243,0.4468864468864469,196,191,0.493573264781491,197,144,0.4227405247813411,1056,1308,0.5532544378698225,1123,1416,0.5576544667453759,1203,1536,0.5607442539219263,1191,1511,0.5591715976331361,1200,1561,0.5653275425262396,738,909,0.5518496058217102,729,827,0.5314505776636713,3005,192,117,136,116,121,95,216,790,1222,1140,586,709,1024,1083,862,847,1023,1243,1508,1161,845,544,387,341,2364,2539,2739,2702,2761,1647,1556
3006,3624,3853,7477,0.5153095333600749,34.045539899999994,-118.25667,62,65,0.5116279069767442,38,48,0.5568181818181818,38,25,0.4,8,23,0.7272727272727273,7,14,0.6521739130434783,20,11,0.36363636363636365,61,49,0.44642857142857145,81,66,0.44966442953020136,222,113,0.33827893175074186,137,104,0.43209876543209874,144,119,0.4528301886792453,180,193,0.5173333333333333,250,295,0.5411334552102377,302,260,0.4627659574468085,221,192,0.4650602409638554,210,233,0.5258426966292135,198,307,0.6074950690335306,228,342,0.5996503496503497,305,335,0.5233644859813084,226,324,0.5887681159420289,261,301,0.5354609929078015,233,193,0.4532710280373832,129,133,0.5075757575757576,63,108,0.630057803468208,483,478,0.4974039460020768,460,548,0.5435643564356436,506,574,0.5314232902033271,550,575,0.5110913930789707,540,527,0.4939195509822264,544,585,0.5181255526083113,541,566,0.5112714156898106,3006,127,86,63,31,21,31,110,147,335,241,263,373,545,562,413,443,505,570,640,550,562,426,262,171,961,1008,1080,1125,1067,1129,1107
3007,3945,2882,6827,0.4221701566847269,34.0437317,-118.26013999999999,20,20,0.5,26,14,0.35714285714285715,8,6,0.4375,7,8,0.5294117647058824,3,1,0.3333333333333333,4,27,0.8484848484848485,17,42,0.7049180327868853,64,112,0.6348314606741573,116,135,0.5375494071146245,171,293,0.630901287553648,113,225,0.6647058823529411,187,235,0.5566037735849056,339,214,0.38738738738738737,385,256,0.39968895800933124,297,232,0.4387947269303202,307,166,0.35157894736842105,311,217,0.41132075471698115,412,190,0.3162251655629139,377,200,0.3471502590673575,284,122,0.3014705882352941,238,72,0.23397435897435898,149,30,0.1712707182320442,75,37,0.3333333333333333,35,28,0.4461538461538462,567,428,0.43029087261785354,631,489,0.43672014260249553,660,453,0.40717488789237666,646,477,0.42488888888888887,597,426,0.4165853658536585,458,345,0.4298136645962733,386,264,0.40644171779141103,3007,40,40,14,15,4,31,59,176,251,464,338,422,553,641,529,473,528,602,577,406,310,179,112,63,995,1120,1113,1123,1023,803,650
3008,3009,3161,6170,0.5123136746597537,34.0447006,-118.25243999999999,121,47,0.2823529411764706,53,45,0.46,41,43,0.5116279069767442,14,19,0.5714285714285714,8,72,0.8902439024390244,13,13,0.5,19,112,0.849624060150376,45,206,0.8181818181818182,73,132,0.642512077294686,85,118,0.5804878048780487,116,126,0.5204918032786885,206,120,0.36890243902439024,246,191,0.43735763097949887,166,242,0.5926829268292683,148,255,0.6320987654320988,172,159,0.4804804804804805,199,166,0.4550408719346049,264,200,0.4313304721030043,227,225,0.4977973568281938,148,195,0.5681159420289855,170,164,0.49107142857142855,175,145,0.453416149068323,170,102,0.3759124087591241,130,64,0.33163265306122447,422,439,0.5098493626882966,423,468,0.5251959686450168,413,429,0.509478672985782,387,393,0.5038363171355499,452,524,0.5368098159509203,450,433,0.4903954802259887,462,475,0.5069222577209798,3008,168,98,84,33,80,26,131,251,205,203,242,326,437,408,403,331,365,464,452,343,334,320,272,194,861,891,842,780,976,883,937
3009,55,68,123,0.552,33.987381,-118.47283200000001,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,3,4,0.5555555555555556,11,8,0.42857142857142855,10,3,0.26666666666666666,12,14,0.5357142857142857,14,13,0.4827586206896552,2,13,0.8235294117647058,2,12,0.8125,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,53,66,0.5537190082644629,3009,0,0,0,0,0,0,0,0,2,7,19,13,26,27,15,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,119
3010,597,657,1254,0.5238853503184714,34.037048299999995,-118.25487,0,3,0.8,2,0,0.25,1,2,0.6,0,0,0.5,1,0,0.3333333333333333,0,0,0.5,5,0,0.14285714285714285,10,4,0.3125,9,87,0.8979591836734694,17,65,0.7857142857142857,21,25,0.5416666666666666,27,46,0.6266666666666667,39,58,0.5959595959595959,51,55,0.5185185185185185,48,59,0.5504587155963303,78,92,0.5406976744186046,70,81,0.5359477124183006,127,22,0.152317880794702,74,27,0.27184466019417475,6,13,0.6666666666666666,0,5,0.8571428571428571,3,5,0.6,3,5,0.6,5,3,0.4,86,95,0.5245901639344263,90,104,0.5357142857142857,107,100,0.48325358851674644,86,89,0.5084745762711864,96,110,0.5336538461538461,77,92,0.543859649122807,55,67,0.5483870967741935,3010,3,2,3,0,1,0,5,14,96,82,46,73,97,106,107,170,151,149,101,19,5,8,8,8,181,194,207,175,206,169,122
3011,1859,2187,4046,0.5405138339920948,34.041130100000004,-118.26798000000001,24,23,0.4897959183673469,26,19,0.425531914893617,13,20,0.6,5,12,0.6842105263157895,8,5,0.4,4,3,0.4444444444444444,83,19,0.19230769230769232,108,72,0.4010989010989011,48,91,0.6524822695035462,65,108,0.6228571428571429,65,108,0.6228571428571429,140,115,0.45136186770428016,117,155,0.5693430656934306,136,156,0.5340136054421769,103,147,0.5873015873015873,132,172,0.565359477124183,129,165,0.5608108108108109,170,189,0.5263157894736842,121,169,0.5821917808219178,69,156,0.6916299559471366,61,77,0.5571428571428572,62,86,0.58,111,68,0.3812154696132597,59,52,0.4690265486725664,217,231,0.5155555555555555,233,278,0.543859649122807,279,328,0.5402298850574713,260,297,0.5330948121645797,314,358,0.5326409495548962,307,374,0.5490483162518301,249,321,0.5629370629370629,3011,47,45,33,17,13,7,102,180,139,173,173,255,272,292,250,304,294,359,290,225,138,148,179,111,448,511,607,557,672,681,570
3014,6520,7555,14075,0.5367620941962066,34.0566101,-118.23721,53,53,0.5,30,36,0.5441176470588235,18,38,0.6724137931034483,4,11,0.7058823529411765,16,31,0.6530612244897959,74,50,0.40476190476190477,518,141,0.21482602118003025,808,219,0.21379980563654033,850,168,0.16568627450980392,439,249,0.36231884057971014,273,215,0.44081632653061226,431,230,0.34841628959276016,382,376,0.49605263157894736,267,523,0.6616161616161617,293,426,0.5922330097087378,268,545,0.6699386503067485,257,1234,0.8271935699933021,397,1457,0.7855603448275862,425,748,0.6374468085106383,183,269,0.5947136563876652,174,230,0.5689655172413793,128,110,0.4625,151,121,0.44525547445255476,81,75,0.4810126582278481,937,1081,0.5356435643564357,1146,1229,0.5174589819099705,1218,1387,0.5324127349443805,1223,1382,0.5304948216340621,1113,1273,0.533500837520938,470,668,0.5868421052631579,413,535,0.5642105263157895,3014,106,66,56,15,47,124,659,1027,1018,688,488,661,758,790,719,813,1491,1854,1173,452,404,238,272,156,2018,2375,2605,2605,2386,1138,948
3016,2426,2375,4801,0.4946908182386009,34.0528984,-118.24156,11,6,0.3684210526315789,77,8,0.10344827586206896,4,28,0.8529411764705882,0,37,0.9743589743589743,0,1,0.6666666666666666,2,3,0.5714285714285714,19,61,0.7560975609756098,62,234,0.7885906040268457,77,298,0.7931034482758621,97,228,0.7003058103975535,89,97,0.5212765957446809,240,113,0.3211267605633803,274,244,0.47115384615384615,169,224,0.569620253164557,123,158,0.5618374558303887,164,98,0.375,321,155,0.3263598326359833,343,196,0.36414048059149723,158,76,0.326271186440678,80,36,0.3135593220338983,34,28,0.453125,29,28,0.4915254237288136,33,14,0.30612244897959184,20,4,0.19230769230769232,325,320,0.49613601236476046,466,505,0.5200411099691675,451,461,0.5054704595185996,475,490,0.5077559462254395,451,408,0.47502903600464574,133,109,0.45081967213114754,125,82,0.39712918660287083,3016,17,85,32,37,1,5,80,296,375,325,186,353,518,393,281,262,476,539,234,116,62,57,47,24,645,971,912,965,859,242,207
3018,1763,2056,3819,0.5383407484951583,34.0437317,-118.26013999999999,30,29,0.4918032786885246,15,20,0.5675675675675675,12,18,0.59375,2,3,0.5714285714285714,3,0,0.2,17,5,0.25,10,10,0.5,45,39,0.46511627906976744,54,47,0.46601941747572817,69,159,0.6956521739130435,86,80,0.48214285714285715,90,119,0.5687203791469194,143,138,0.4911660777385159,136,151,0.5259515570934256,122,122,0.5,112,118,0.5129310344827587,116,153,0.5682656826568265,139,168,0.5469255663430421,152,182,0.5446428571428571,117,124,0.51440329218107,93,126,0.5746606334841629,87,104,0.5440414507772021,67,69,0.5072463768115942,46,72,0.6083333333333333,224,279,0.5544554455445545,214,290,0.575098814229249,241,317,0.5678571428571428,245,311,0.5591397849462365,262,293,0.5278276481149012,314,302,0.49029126213592233,263,264,0.500945179584121,3018,59,35,30,5,3,22,20,84,101,228,166,209,281,287,244,230,269,307,334,241,219,191,136,118,503,504,558,556,555,616,527
