,start,end,total,ratio,lat,lon,start_0,end_0,ratio_0,start_1,end_1,ratio_1,start_2,end_2,ratio_2,start_3,end_3,ratio_3,start_4,end_4,ratio_4,start_5,end_5,ratio_5,start_6,end_6,ratio_6,start_7,end_7,ratio_7,start_8,end_8,ratio_8,start_9,end_9,ratio_9,start_10,end_10,ratio_10,start_11,end_11,ratio_11,start_12,end_12,ratio_12,start_13,end_13,ratio_13,start_14,end_14,ratio_14,start_15,end_15,ratio_15,start_16,end_16,ratio_16,start_17,end_17,ratio_17,start_18,end_18,ratio_18,start_19,end_19,ratio_19,start_20,end_20,ratio_20,start_21,end_21,ratio_21,start_22,end_22,ratio_22,start_23,end_23,ratio_23,start_Mon,end_Mon,ratio_Mon,start_Tue,end_Tue,ratio_Tue,start_Wed,end_Wed,ratio_Wed,start_Thu,end_Thu,ratio_Thu,start_Fri,end_Fri,ratio_Fri,start_Sat,end_Sat,ratio_Sat,start_Sun,end_Sun,ratio_Sun,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,total_Mon,total_Tue,total_Wed,total_Thu,total_Fri,total_Sat,total_Sun
3005,6349,7490,13839,0.541194310058488,34.04652,-118.23741100000001,87,72,0.4556213017751479,46,56,0.5446428571428571,82,37,0.32558139534883723,54,12,0.2236842105263158,34,68,0.6517857142857143,24,52,0.6627906976744186,43,168,0.7828054298642534,77,571,0.8753799392097265,165,801,0.8258196721311475,166,645,0.7917174177831913,224,328,0.5925266903914591,247,331,0.5714285714285714,438,428,0.4942922374429224,360,490,0.5755813953488372,332,352,0.5144092219020173,341,430,0.5569782330345711,384,516,0.5725274725274725,688,446,0.3942307692307692,771,524,0.4053639846743295,643,391,0.3793103448275862,467,276,0.37317397078353254,310,238,0.43548387096774194,187,158,0.4591549295774648,179,100,0.3633217993079585,969,1077,0.5262645914396887,1000,1177,0.5404663923182441,1044,1248,0.5443092962641182,1074,1301,0.5475890985324947,1032,1263,0.5501084598698481,656,770,0.5396935933147632,574,654,0.5323101777059773,159,102,119,66,102,76,211,648,966,811,552,578,866,850,684,771,900,1134,1295,1034,743,548,345,279,2046,2177,2292,2375,2295,1426,1228
3006,2686,2793,5479,0.5097467662597923,34.045421999999995,-118.25351699999999,43,51,0.5384615384615384,32,25,0.44776119402985076,26,17,0.41509433962264153,10,14,0.5588235294117647,11,4,0.36,16,9,0.4,85,20,0.21739130434782608,45,37,0.45652173913043476,175,78,0.3155893536121673,106,84,0.445,87,88,0.5027027027027027,143,117,0.45185185185185184,151,213,0.5828877005347594,210,179,0.46115288220551376,159,139,0.4675324675324675,149,168,0.5290519877675841,163,260,0.6120092378752887,198,260,0.5662393162393162,234,256,0.522,166,259,0.6068965517241379,201,219,0.5209302325581395,143,151,0.5131578947368421,90,86,0.489247311827957,43,59,0.5714285714285714,343,334,0.49344978165938863,343,405,0.5408970976253298,391,396,0.5031367628607277,398,421,0.5138721351025332,395,415,0.5121951219512195,426,430,0.5023094688221709,390,392,0.5012626262626263,94,57,43,24,15,25,105,82,253,190,175,260,364,389,298,317,423,458,490,425,420,294,176,102,677,748,787,819,810,856,782
3007,3219,2448,5667,0.43209441606482296,34.05048,-118.254593,31,21,0.41935483870967744,26,11,0.3404255319148936,11,6,0.4074074074074074,5,7,0.5454545454545454,3,11,0.6666666666666666,6,17,0.6666666666666666,11,47,0.7647058823529411,31,95,0.7352941176470589,94,226,0.7,163,225,0.5778894472361809,83,170,0.6653992395437263,143,152,0.5147540983606558,261,196,0.430406852248394,285,189,0.40082644628099173,223,177,0.44390243902439025,229,131,0.3675675675675676,232,156,0.4045226130653266,376,143,0.27977315689981097,298,172,0.36875,262,109,0.2992125984251969,217,79,0.27450980392156865,133,44,0.2620320855614973,66,33,0.3486238532110092,30,31,0.5070422535211268,480,389,0.4482366325369738,523,411,0.4406779661016949,541,396,0.42344244984160506,537,396,0.4252386002120891,518,368,0.41629464285714285,358,280,0.4398148148148148,262,208,0.44375,52,37,17,12,14,23,58,126,320,388,253,295,457,474,400,360,388,519,470,371,296,177,99,61,869,934,937,933,886,638,470
3008,2378,2469,4847,0.5093679225859584,34.04652,-118.23741100000001,112,29,0.2251655629139073,44,31,0.4235294117647059,34,32,0.4868421052631579,14,21,0.5777777777777777,0,3,0.6153846153846154,13,8,0.41935483870967744,5,54,0.855072463768116,31,133,0.7931034482758621,51,158,0.7442922374429224,45,101,0.6794871794871795,74,96,0.5611111111111111,118,103,0.4675324675324675,200,148,0.4273743016759777,115,210,0.6417910447761194,124,229,0.6446280991735537,155,160,0.5076923076923077,140,133,0.4876325088339223,267,161,0.3789954337899543,179,176,0.4958904109589041,133,134,0.5018050541516246,149,138,0.48148148148148145,131,108,0.4538152610441767,153,66,0.31004366812227074,91,37,0.30434782608695654,335,342,0.50509461426492,326,333,0.5052316890881914,337,325,0.49107142857142855,306,323,0.513302034428795,365,429,0.5398009950248757,338,350,0.5085959885386819,371,367,0.49732620320855614,141,75,66,35,3,21,59,164,209,146,170,221,348,325,353,315,273,428,355,267,287,239,219,128,677,659,662,629,794,688,738
3009,55,68,123,0.5488721804511278,33.987381,-118.47283200000001,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,3,4,0.5294117647058824,11,8,0.4482758620689655,10,3,0.34782608695652173,12,14,0.5277777777777778,14,13,0.4864864864864865,2,13,0.72,2,12,0.7083333333333334,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,1,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,53,66,0.5503875968992248,0,0,0,0,0,0,0,0,2,7,19,13,26,27,15,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,119
3010,361,506,867,0.5826681870011402,34.037048,-118.25486799999999,2,3,0.5333333333333333,0,0,0.5,2,1,0.46153846153846156,0,0,0.5,0,0,0.5,1,0,0.45454545454545453,0,0,0.5,1,3,0.5714285714285714,3,17,0.7333333333333333,13,42,0.7230769230769231,7,22,0.6923076923076923,20,28,0.5689655172413793,34,40,0.5357142857142857,48,50,0.5092592592592593,45,53,0.5370370370370371,51,77,0.5942028985507246,40,54,0.5673076923076923,44,35,0.449438202247191,20,28,0.5689655172413793,9,20,0.6410256410256411,8,14,0.59375,3,8,0.6190476190476191,3,5,0.5555555555555556,7,6,0.4782608695652174,41,57,0.5740740740740741,56,83,0.5906040268456376,54,62,0.5317460317460317,47,63,0.5666666666666667,47,71,0.59375,65,101,0.6022727272727273,51,69,0.5692307692307692,5,0,3,0,0,1,0,4,20,55,29,48,74,98,98,128,94,79,48,29,22,11,8,13,98,139,116,110,118,166,120
3011,1548,1877,3425,0.5478893740902474,34.060558,-118.238327,16,18,0.5227272727272727,10,22,0.6428571428571429,10,20,0.625,3,10,0.6521739130434783,5,5,0.5,3,1,0.42857142857142855,59,8,0.16883116883116883,85,49,0.375,51,105,0.6626506024096386,55,122,0.679144385026738,50,94,0.6428571428571429,130,79,0.3835616438356164,104,130,0.5532786885245902,125,172,0.5765472312703583,105,121,0.5338983050847458,111,144,0.5622641509433962,124,125,0.5019305019305019,146,201,0.5770308123249299,78,131,0.6210045662100456,70,95,0.5714285714285714,51,65,0.5555555555555556,41,62,0.5929203539823009,81,65,0.44871794871794873,35,33,0.48717948717948717,204,249,0.5485961123110151,232,259,0.5269461077844312,238,295,0.5524861878453039,233,260,0.5268389662027833,236,283,0.5444234404536862,211,256,0.5471698113207547,194,275,0.5845511482254697,34,32,30,13,10,4,67,134,156,177,144,209,234,297,226,255,249,347,209,165,116,103,146,68,453,491,533,493,519,467,469
3013,79,85,164,0.5172413793103449,33.779819,-118.263023,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,2,2,0.5,2,0,0.4166666666666667,9,1,0.3,7,4,0.42857142857142855,9,3,0.36363636363636365,10,13,0.5454545454545454,4,15,0.6896551724137931,10,5,0.4,8,18,0.6388888888888888,4,5,0.5263157894736842,1,6,0.6470588235294118,3,1,0.42857142857142855,7,9,0.5384615384615384,3,0,0.38461538461538464,0,3,0.6153846153846154,0,0,0.5,0,0,0.5,4,6,0.55,1,1,0.5,5,7,0.5454545454545454,7,2,0.3684210526315789,7,6,0.4782608695652174,3,6,0.5789473684210527,52,57,0.5210084033613446,0,0,0,0,0,0,0,4,2,10,11,12,23,19,15,26,9,7,4,16,3,3,0,0,10,2,12,9,13,9,109
3014,4881,5506,10387,0.5300567471385976,34.04607,-118.233093,27,27,0.5,32,30,0.4861111111111111,11,28,0.673469387755102,14,19,0.5581395348837209,25,18,0.4339622641509434,91,28,0.2558139534883721,396,95,0.1996007984031936,555,194,0.2621870882740448,684,181,0.21257142857142858,410,207,0.33811802232854865,217,136,0.3884297520661157,221,144,0.3973333333333333,233,216,0.48148148148148145,195,354,0.6422182468694096,200,291,0.590818363273453,178,427,0.7024390243902439,219,971,0.8133333333333334,301,1043,0.7740029542097489,335,535,0.6136363636363636,170,216,0.5580808080808081,120,140,0.5370370370370371,86,76,0.47093023255813954,98,75,0.4371584699453552,63,55,0.46875,725,851,0.5397225725094578,858,910,0.5146231721034871,916,1026,0.5281762295081968,935,985,0.5129533678756477,815,899,0.5243619489559165,335,467,0.5812807881773399,297,368,0.5525925925925926,54,62,39,33,43,119,491,749,865,617,353,365,449,549,491,605,1190,1344,870,386,260,162,173,118,1576,1768,1942,1920,1714,802,665
3016,1314,1218,2532,0.481117230527144,34.052898,-118.24156200000002,7,4,0.42857142857142855,31,4,0.2,2,13,0.72,0,10,0.75,0,1,0.5454545454545454,1,10,0.7142857142857143,11,8,0.4482758620689655,38,80,0.6640625,48,109,0.6826347305389222,56,104,0.6411764705882353,32,49,0.5934065934065934,121,73,0.38235294117647056,111,108,0.49344978165938863,95,91,0.4897959183673469,81,96,0.5401069518716578,88,64,0.42592592592592593,159,120,0.43252595155709345,150,105,0.41509433962264153,110,69,0.3915343915343915,71,42,0.3821138211382114,34,25,0.43478260869565216,23,24,0.5087719298245614,28,6,0.25,17,3,0.26666666666666666,179,174,0.4931129476584022,213,228,0.516629711751663,237,244,0.5071283095723014,255,234,0.4789579158316633,243,216,0.47121535181236673,98,81,0.455026455026455,89,41,0.32857142857142857,11,35,15,10,1,11,19,118,157,160,81,194,219,186,177,152,279,255,179,113,59,47,34,20,353,441,481,489,459,179,130
