trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
79710382,157,4/1/2018 9:40,4/1/2018 12:17,4151,34.142361,-118.14151000000001,3000,,,6112,30,One Way,Monthly Pass
79732081,195,4/1/2018 11:49,4/1/2018 15:04,4153,34.156181,-118.16668700000001,3000,,,5934,0,One Way,Walk-up
79762167,182,4/1/2018 16:15,4/1/2018 19:17,3023,34.050911,-118.240967,3000,,,12401,0,One Way,Walk-up
79754271,75,4/1/2018 17:35,4/1/2018 18:50,3068,34.0532,-118.25095400000001,3000,,,6274,0,One Way,Walk-up
79777505,183,4/1/2018 18:14,4/1/2018 21:17,4214,33.99556,-118.48155200000001,3000,,,12057,0,One Way,Walk-up
80046459,1440,4/2/2018 9:11,4/3/2018 11:03,3055,34.044159,-118.251579,3000,,,6565,0,One Way,Walk-up
79888769,185,4/2/2018 10:48,4/2/2018 13:53,3063,34.048038,-118.25373799999998,3000,,,5762,30,One Way,Monthly Pass
79910700,251,4/2/2018 12:06,4/2/2018 16:17,3027,34.04998,-118.24716200000002,3000,,,6716,0,One Way,Walk-up
79903047,49,4/2/2018 14:36,4/2/2018 15:25,3074,34.04417,-118.261169,3000,,,6246,1,One Way,One Day Pass
79902991,18,4/2/2018 15:41,4/2/2018 15:59,3008,34.046611999999996,-118.26273300000001,3000,,,6705,30,One Way,Monthly Pass
79925640,141,4/2/2018 16:02,4/2/2018 18:23,3082,34.04652,-118.23741100000001,3000,,,12203,30,One Way,Monthly Pass
79933330,194,4/2/2018 16:36,4/2/2018 19:50,4214,33.99556,-118.48155200000001,3000,,,12108,0,One Way,Walk-up
79933302,184,4/2/2018 16:52,4/2/2018 19:56,3068,34.0532,-118.25095400000001,3000,,,5946,1,One Way,One Day Pass
80011071,756,4/2/2018 18:08,4/3/2018 6:44,3028,34.058319,-118.246094,3000,,,6523,0,One Way,Walk-up
79948741,183,4/2/2018 18:53,4/2/2018 21:56,3031,34.044701,-118.25244099999999,3000,,,11978,30,One Way,Monthly Pass
80017521,25,4/3/2018 7:08,4/3/2018 7:33,4212,33.988129,-118.471741,3000,,,6302,0,One Way,Walk-up
80052562,220,4/3/2018 8:45,4/3/2018 12:25,3040,34.05357,-118.26635700000001,3000,,,6390,30,One Way,Monthly Pass
80544171,1440,4/3/2018 10:49,4/6/2018 10:49,3030,34.051941,-118.24353,3000,,,6586,30,One Way,Monthly Pass
80387800,1440,4/3/2018 11:03,4/5/2018 11:22,3005,34.0485,-118.25853700000002,3000,,,12349,30,One Way,Monthly Pass
80066889,187,4/3/2018 11:25,4/3/2018 14:32,4183,34.146069,-118.129181,3000,,,12446,0,One Way,Walk-up
80258519,1440,4/3/2018 11:35,4/4/2018 17:38,3069,34.05088,-118.248253,3000,,,6214,0,One Way,Walk-up
80089531,321,4/3/2018 11:51,4/3/2018 17:12,3020,34.031052,-118.26709,3000,,,6416,0,One Way,Walk-up
80052165,52,4/3/2018 12:05,4/3/2018 12:57,3040,34.05357,-118.26635700000001,3000,,,5881,30,One Way,Monthly Pass
80074249,183,4/3/2018 12:16,4/3/2018 15:19,4209,33.996239,-118.477448,3000,,,12060,0,One Way,Walk-up
80258419,1440,4/3/2018 12:23,4/4/2018 17:38,3029,34.048851,-118.246422,3000,,,5796,0,One Way,Walk-up
80066681,11,4/3/2018 13:54,4/3/2018 14:05,3037,34.034801,-118.231277,3000,,,12247,30,One Way,Monthly Pass
80227821,1413,4/3/2018 14:23,4/4/2018 13:56,4151,34.142361,-118.14151000000001,3000,,,12202,0,One Way,Walk-up
80089307,186,4/3/2018 14:31,4/3/2018 17:37,3055,34.044159,-118.251579,3000,,,6369,0,One Way,Walk-up
80089296,182,4/3/2018 14:37,4/3/2018 17:39,4166,34.145908,-118.12175,3000,,,5865,30,One Way,Monthly Pass
80104745,182,4/3/2018 16:06,4/3/2018 19:08,4214,33.99556,-118.48155200000001,3000,,,6496,0,One Way,Walk-up
80183830,692,4/3/2018 19:46,4/4/2018 7:18,4132,33.74913,-118.28018200000001,3000,,,12453,0,One Way,Walk-up
