trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
112928543,36,1/5/2019 12:55,1/5/2019 13:31,3022,34.04607,-118.233093,3000,,,6198,1,One Way,Walk-up,standard
112886862,21,1/6/2019 6:43,1/6/2019 7:04,3052,34.051102,-118.26455700000001,3000,,,6404,365,One Way,Annual Pass,standard
112898098,20,1/6/2019 7:38,1/6/2019 7:58,3005,34.0485,-118.25853700000002,3000,,,15070,1,One Way,One Day Pass,electric
112905768,30,1/6/2019 10:41,1/6/2019 11:11,3067,34.045181,-118.25023700000001,3000,,,6634,30,One Way,Monthly Pass,standard
112904176,19,1/6/2019 12:57,1/6/2019 13:16,3018,34.043732,-118.260139,3000,,,6707,365,One Way,Annual Pass,standard
112913941,30,1/6/2019 15:29,1/6/2019 15:59,3049,34.056969,-118.253593,3000,,,6231,1,One Way,One Day Pass,standard
112917294,30,1/6/2019 17:31,1/6/2019 18:01,3035,34.048401,-118.260948,3000,,,15047,30,One Way,Monthly Pass,electric
113334604,1440,1/6/2019 20:44,1/12/2019 13:39,3066,34.063389,-118.23616000000001,3000,,,12451,1,One Way,Walk-up,standard
112996388,15,1/6/2019 21:12,1/6/2019 21:27,3027,34.04998,-118.24716200000002,3000,,,5761,1,One Way,Walk-up,standard
113063263,1,1/7/2019 8:59,1/7/2019 9:00,4213,33.995369000000004,-118.464798,3000,,,12049,30,One Way,Monthly Pass,standard
112978457,30,1/7/2019 14:20,1/7/2019 14:50,3005,34.0485,-118.25853700000002,3000,,,6417,1,One Way,One Day Pass,standard
112996070,5,1/7/2019 14:40,1/7/2019 14:45,3014,34.05661,-118.23721299999998,3000,,,6055,1,One Way,One Day Pass,standard
112979938,30,1/7/2019 16:03,1/7/2019 16:33,3030,34.051941,-118.24353,3000,,,15036,30,One Way,Monthly Pass,electric
113198740,7,1/7/2019 16:22,1/7/2019 16:29,3022,34.04607,-118.233093,3000,,,5990,1,One Way,Walk-up,standard
113062897,20,1/7/2019 16:48,1/7/2019 17:08,3005,34.0485,-118.25853700000002,3000,,,6636,1,One Way,Walk-up,standard
113266567,30,1/7/2019 17:38,1/7/2019 18:08,3022,34.04607,-118.233093,3000,,,6540,365,One Way,Annual Pass,standard
112994220,222,1/7/2019 17:39,1/7/2019 21:21,3022,34.04607,-118.233093,3000,,,12219,365,One Way,Annual Pass,standard
113198561,1440,1/7/2019 19:12,1/10/2019 5:03,4245,34.02404,-118.283409,3000,,,6307,1,One Way,Walk-up,standard
113062740,5,1/7/2019 19:13,1/7/2019 19:18,4245,34.02404,-118.283409,3000,,,6003,1,One Way,Walk-up,standard
113062704,10,1/7/2019 20:31,1/7/2019 20:41,3038,34.046822,-118.248352,3000,,,6348,1,One Way,Walk-up,standard
113062638,20,1/8/2019 6:28,1/8/2019 6:48,3035,34.048401,-118.260948,3000,,,6195,1,One Way,One Day Pass,standard
113022349,18,1/8/2019 7:00,1/8/2019 7:18,3082,34.04652,-118.23741100000001,3000,,,6190,365,One Way,Annual Pass,standard
113198415,1440,1/8/2019 7:19,1/10/2019 5:01,3014,34.05661,-118.23721299999998,3000,,,5728,1,One Way,Walk-up,standard
113198302,1440,1/8/2019 8:37,1/10/2019 10:21,3018,34.043732,-118.260139,3000,,,12257,1,One Way,Walk-up,standard
113026534,1,1/8/2019 8:41,1/8/2019 8:42,3049,34.056969,-118.253593,3000,,,6331,30,One Way,Monthly Pass,standard
113027725,10,1/8/2019 8:42,1/8/2019 8:52,3006,34.04554,-118.25666799999999,3000,,,12001,1,One Way,Walk-up,standard
113198084,276,1/8/2019 11:56,1/8/2019 16:32,4205,33.993771,-118.453667,3000,,,12010,1,One Way,One Day Pass,standard
113130415,30,1/8/2019 12:26,1/8/2019 12:56,3007,34.05048,-118.254593,3000,,,6165,30,One Way,Monthly Pass,standard
113130366,8,1/8/2019 13:08,1/8/2019 13:16,3027,34.04998,-118.24716200000002,3000,,,12348,1,One Way,Walk-up,standard
113055831,15,1/8/2019 19:10,1/8/2019 19:25,3074,34.04417,-118.261169,3000,,,6295,1,One Way,One Day Pass,standard
113059953,27,1/8/2019 20:58,1/8/2019 21:25,3046,34.052872,-118.24748999999998,3000,,,15060,1,One Way,One Day Pass,electric
113079456,30,1/8/2019 23:08,1/8/2019 23:38,3022,34.04607,-118.233093,3000,,,15055,30,One Way,Monthly Pass,electric
113197439,20,1/9/2019 0:22,1/9/2019 0:42,4210,33.984341,-118.47155,3000,,,6446,1,One Way,Walk-up,standard
113089513,16,1/9/2019 7:10,1/9/2019 7:26,3022,34.04607,-118.233093,3000,,,11966,365,One Way,Annual Pass,standard
113089744,14,1/9/2019 7:21,1/9/2019 7:35,3069,34.05088,-118.248253,3000,,,6104,365,One Way,Annual Pass,standard
113399536,1440,1/9/2019 13:56,1/13/2019 20:32,3082,34.04652,-118.23741100000001,3000,,,12293,1,One Way,Walk-up,standard
113196961,1440,1/9/2019 14:40,1/10/2019 20:13,3054,34.039219,-118.236488,3000,,,12059,1,One Way,Walk-up,standard
113112487,18,1/9/2019 15:27,1/9/2019 15:45,3032,34.049889,-118.255882,3000,,,15036,30,One Way,Monthly Pass,electric
113114025,15,1/9/2019 16:05,1/9/2019 16:20,3040,34.05357,-118.26635700000001,3000,,,15055,30,One Way,Monthly Pass,electric
113114478,30,1/9/2019 16:08,1/9/2019 16:38,3030,34.051941,-118.24353,3000,,,6284,30,One Way,Monthly Pass,standard
113196748,20,1/9/2019 17:25,1/9/2019 17:45,3008,34.046611999999996,-118.26273300000001,3000,,,5886,30,One Way,Monthly Pass,standard
113118421,19,1/9/2019 17:49,1/9/2019 18:08,3022,34.04607,-118.233093,3000,,,6232,1,One Way,Walk-up,standard
113196522,15,1/9/2019 22:16,1/9/2019 22:31,4245,34.02404,-118.283409,3000,,,6127,1,One Way,Walk-up,standard
113196507,1245,1/9/2019 23:33,1/10/2019 20:18,4245,34.02404,-118.283409,3000,,,6354,1,One Way,Walk-up,standard
