trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
106469920,10,10/1/2018 1:27,10/1/2018 1:37,3046,34.052872,-118.24748999999998,3000,,,12417,30,One Way,Monthly Pass,standard
106431772,14,10/1/2018 7:21,10/1/2018 7:35,3014,34.05661,-118.23721299999998,3000,,,12183,30,One Way,Monthly Pass,standard
106609405,5,10/1/2018 9:05,10/1/2018 9:10,3029,34.048851,-118.246422,3000,,,5999,30,One Way,Monthly Pass,standard
106437971,17,10/1/2018 9:40,10/1/2018 9:57,3022,34.04607,-118.233093,3000,,,6654,30,One Way,Monthly Pass,standard
106438651,17,10/1/2018 9:55,10/1/2018 10:12,3031,34.044701,-118.25244099999999,3000,,,6208,30,One Way,Monthly Pass,standard
106469691,446,10/1/2018 10:06,10/1/2018 17:32,3062,34.047748999999996,-118.243172,3000,,,6689,30,One Way,Monthly Pass,standard
106609317,1440,10/1/2018 10:52,10/3/2018 9:40,3025,34.03286,-118.268082,3000,,,5941,1,One Way,Walk-up,standard
106445872,30,10/1/2018 11:05,10/1/2018 11:35,3062,34.047748999999996,-118.243172,3000,,,12373,30,One Way,Monthly Pass,standard
106456322,10,10/1/2018 15:25,10/1/2018 15:35,3019,34.038609,-118.260857,3000,,,6370,1,One Way,Walk-up,standard
106456318,10,10/1/2018 15:27,10/1/2018 15:37,3020,34.031052,-118.26709,3000,,,5818,30,One Way,Monthly Pass,standard
106456302,10,10/1/2018 15:37,10/1/2018 15:47,4220,34.074829,-118.258728,3000,,,5804,30,One Way,Monthly Pass,standard
106456303,10,10/1/2018 15:37,10/1/2018 15:47,3051,34.045421999999995,-118.25351699999999,3000,,,6718,30,One Way,Monthly Pass,standard
106750241,1440,10/1/2018 17:12,10/5/2018 21:38,3014,34.05661,-118.23721299999998,3000,,,6101,1,One Way,Walk-up,standard
106462534,27,10/1/2018 19:08,10/1/2018 19:35,3064,34.04681,-118.25698100000001,3000,,,12117,30,One Way,Monthly Pass,standard
106464717,39,10/1/2018 19:49,10/1/2018 20:28,3068,34.0532,-118.25095400000001,3000,,,5939,30,One Way,Monthly Pass,standard
106465359,26,10/1/2018 20:17,10/1/2018 20:43,3051,34.045421999999995,-118.25351699999999,3000,,,6255,30,One Way,Monthly Pass,standard
106538409,10,10/2/2018 6:43,10/2/2018 6:53,3014,34.05661,-118.23721299999998,3000,,,6537,30,One Way,Monthly Pass,standard
106509127,61,10/2/2018 9:43,10/2/2018 10:44,3035,34.048401,-118.260948,3000,,,6444,30,One Way,Monthly Pass,standard
106678402,1440,10/2/2018 12:39,10/4/2018 11:38,4210,33.984341,-118.47155,3000,,,12424,1,One Way,Walk-up,standard
106678399,1440,10/2/2018 12:40,10/4/2018 11:38,4210,33.984341,-118.47155,3000,,,12316,1,One Way,Walk-up,standard
106607681,1405,10/2/2018 12:44,10/3/2018 12:09,4214,33.99556,-118.48155200000001,3000,,,12244,1,One Way,Walk-up,standard
106607677,1404,10/2/2018 12:45,10/3/2018 12:09,4214,33.99556,-118.48155200000001,3000,,,6338,1,One Way,Walk-up,standard
106607656,1084,10/2/2018 13:00,10/3/2018 7:04,3028,34.058319,-118.246094,3000,,,12270,365,One Way,Monthly Pass,standard
106607536,10,10/2/2018 14:53,10/2/2018 15:03,3063,34.048038,-118.25373799999998,3000,,,12380,1,One Way,Walk-up,standard
106607441,120,10/2/2018 15:55,10/2/2018 17:55,3018,34.043732,-118.260139,3000,,,6308,1,One Way,Walk-up,standard
106526368,15,10/2/2018 17:08,10/2/2018 17:23,3077,34.039871000000005,-118.25003799999999,3000,,,12219,30,One Way,Monthly Pass,standard
