trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
33463211,612,7/1/2017 1:01,7/1/2017 11:13,3018,34.043732,-118.260139,3000,,,6342,0,One Way,Walk-up
33607327,1440,7/1/2017 10:12,7/2/2017 13:35,3022,34.04607,-118.233093,3000,,,5812,0,One Way,Walk-up
33473985,126,7/1/2017 11:44,7/1/2017 13:50,3062,34.047748999999996,-118.243172,3000,,,6244,365,One Way,Flex Pass
33607106,1358,7/1/2017 15:01,7/2/2017 13:39,3049,34.056969,-118.253593,3000,,,6651,0,One Way,Walk-up
33857473,1440,7/1/2017 16:20,7/4/2017 13:37,3068,34.0532,-118.25095400000001,3000,,,5788,365,One Way,Flex Pass
33741681,1440,7/1/2017 16:47,7/3/2017 14:14,3031,34.044701,-118.25244099999999,3000,,,6058,0,One Way,Walk-up
33507645,87,7/1/2017 17:43,7/1/2017 19:10,3031,34.044701,-118.25244099999999,3000,,,5777,0,One Way,Walk-up
33629785,1293,7/1/2017 19:58,7/2/2017 17:31,3056,34.037459999999996,-118.265381,3000,,,6417,30,One Way,Monthly Pass
33612495,993,7/1/2017 21:36,7/2/2017 14:09,3046,34.053020000000004,-118.247948,3000,,,6300,0,One Way,Walk-up
33612410,422,7/2/2017 7:13,7/2/2017 14:15,3055,34.044159,-118.251579,3000,,,6301,0,One Way,Walk-up
33606720,196,7/2/2017 9:58,7/2/2017 13:14,3035,34.048401,-118.260948,3000,,,5745,0,One Way,Walk-up
33652690,194,7/2/2017 18:34,7/2/2017 21:48,3031,34.044701,-118.25244099999999,3000,,,5861,0,One Way,Walk-up
33652688,184,7/2/2017 18:36,7/2/2017 21:40,3062,34.047748999999996,-118.243172,3000,,,5819,0,One Way,Walk-up
33699497,53,7/3/2017 5:40,7/3/2017 6:33,3042,34.049301,-118.238808,3000,,,5900,30,One Way,Monthly Pass
33779010,288,7/3/2017 16:16,7/3/2017 21:04,3068,34.0532,-118.25095400000001,3000,,,5794,30,One Way,Monthly Pass
33832182,985,7/3/2017 16:30,7/4/2017 8:55,3010,34.037048,-118.25486799999999,3000,,,6232,30,One Way,Monthly Pass
33832180,983,7/3/2017 16:32,7/4/2017 8:55,3010,34.037048,-118.25486799999999,3000,,,6515,30,One Way,Monthly Pass
33756738,28,7/3/2017 16:42,7/3/2017 17:10,3048,34.041691,-118.235352,3000,,,6500,30,One Way,Monthly Pass
33851265,1102,7/3/2017 17:51,7/4/2017 12:13,3069,34.05088,-118.248253,3000,,,6417,30,One Way,Monthly Pass
33836826,914,7/3/2017 18:30,7/4/2017 9:44,3076,34.0406,-118.25383799999999,3000,,,6353,0,One Way,Walk-up
33836824,912,7/3/2017 18:32,7/4/2017 9:44,3076,34.0406,-118.25383799999999,3000,,,5857,0,One Way,Walk-up
33966737,1440,7/4/2017 10:27,7/5/2017 13:10,3069,34.05088,-118.248253,3000,,,5806,0,One Way,Walk-up
33891326,458,7/4/2017 13:07,7/4/2017 20:45,3011,34.041129999999995,-118.267982,3000,,,6017,365,One Way,Flex Pass
33875747,187,7/4/2017 14:52,7/4/2017 17:59,3026,34.063179,-118.24588,3000,,,6069,0,One Way,Walk-up
33896415,253,7/4/2017 16:47,7/4/2017 21:00,3031,34.044701,-118.25244099999999,3000,,,5999,30,One Way,Monthly Pass
33942365,905,7/4/2017 17:18,7/5/2017 8:23,3027,34.04998,-118.24716200000002,3000,,,5750,30,One Way,Monthly Pass
33891043,82,7/4/2017 19:17,7/4/2017 20:39,3048,34.041691,-118.235352,3000,,,6494,365,One Way,Flex Pass
33956369,235,7/5/2017 7:05,7/5/2017 11:00,3052,34.051102,-118.26455700000001,3000,,,5870,30,One Way,Monthly Pass
33956300,182,7/5/2017 8:29,7/5/2017 11:31,3025,34.03286,-118.268082,3000,,,6497,30,One Way,Monthly Pass
33960817,6,7/5/2017 12:26,7/5/2017 12:32,3034,34.042061,-118.26338200000001,3000,,,6360,30,One Way,Monthly Pass
33960816,3,7/5/2017 12:27,7/5/2017 12:30,3034,34.042061,-118.26338200000001,3000,,,5959,30,One Way,Monthly Pass
33960810,3,7/5/2017 12:32,7/5/2017 12:35,3034,34.042061,-118.26338200000001,3000,,,5951,30,One Way,Monthly Pass
33996437,277,7/5/2017 15:20,7/5/2017 19:57,3018,34.043732,-118.260139,3000,,,6010,0,One Way,Walk-up
34066805,1116,7/5/2017 16:06,7/6/2017 10:42,3007,34.05048,-118.254593,3000,,,6623,30,One Way,Monthly Pass
34071250,843,7/5/2017 21:10,7/6/2017 11:13,3064,34.04681,-118.25698100000001,3000,,,6683,30,One Way,Monthly Pass
34061928,630,7/5/2017 23:24,7/6/2017 9:54,3020,34.031052,-118.26709,3000,,,6678,30,One Way,Monthly Pass
34057283,42,7/6/2017 7:29,7/6/2017 8:11,3022,34.04607,-118.233093,3000,,,6531,30,One Way,Monthly Pass
34169164,1278,7/6/2017 11:31,7/7/2017 8:49,3006,34.04554,-118.25666799999999,3000,,,5958,0,One Way,Walk-up
34205449,1440,7/6/2017 12:50,7/7/2017 16:50,3067,34.045181,-118.25023700000001,3000,,,6098,30,One Way,Monthly Pass
34104692,35,7/6/2017 17:27,7/6/2017 18:02,3014,34.05661,-118.23721299999998,3000,,,5904,30,One Way,Monthly Pass
34104684,36,7/6/2017 17:29,7/6/2017 18:05,3032,34.049889,-118.255882,3000,,,6168,0,One Way,Walk-up
34104671,70,7/6/2017 17:43,7/6/2017 18:53,3076,34.0406,-118.25383799999999,3000,,,6693,30,One Way,Monthly Pass
34104662,16,7/6/2017 17:50,7/6/2017 18:06,3029,34.048851,-118.246422,3000,,,4728,365,One Way,Flex Pass
34104664,22,7/6/2017 17:50,7/6/2017 18:12,3007,34.05048,-118.254593,3000,,,6008,0,One Way,Walk-up
34104659,22,7/6/2017 17:51,7/6/2017 18:13,3067,34.045181,-118.25023700000001,3000,,,6359,30,One Way,Monthly Pass
34104660,21,7/6/2017 17:51,7/6/2017 18:12,3029,34.048851,-118.246422,3000,,,6603,365,One Way,Flex Pass
34104658,20,7/6/2017 17:52,7/6/2017 18:12,3005,34.0485,-118.25853700000002,3000,,,5729,30,One Way,Monthly Pass
34104644,42,7/6/2017 18:07,7/6/2017 18:49,3022,34.04607,-118.233093,3000,,,6194,365,One Way,Flex Pass
34104637,28,7/6/2017 18:09,7/6/2017 18:37,3049,34.056969,-118.253593,3000,,,5788,30,One Way,Monthly Pass
34104638,7,7/6/2017 18:09,7/6/2017 18:16,3082,34.04652,-118.23741100000001,3000,,,6153,30,One Way,Monthly Pass
34104639,16,7/6/2017 18:09,7/6/2017 18:25,3064,34.04681,-118.25698100000001,3000,,,6360,30,One Way,Monthly Pass
