trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
9431960,199,10/9/2016 15:47,10/9/2016 19:06,3074,34.04417,-118.261169,3000,,,6470,30,One Way,Monthly Pass
9513031,183,10/10/2016 8:52,10/10/2016 11:55,3042,34.049301,-118.238808,3000,,,6545,1,One Way,Walk-up
9518184,220,10/10/2016 8:54,10/10/2016 12:34,3062,34.047748999999996,-118.243172,3000,,,6547,365,One Way,Monthly Pass
9533816,183,10/10/2016 12:18,10/10/2016 15:21,3036,34.039188,-118.232529,3000,,,6604,365,One Way,Monthly Pass
9533817,184,10/10/2016 12:18,10/10/2016 15:22,3036,34.039188,-118.232529,3000,,,6645,365,One Way,Monthly Pass
9549728,9,10/10/2016 18:15,10/10/2016 18:24,3076,34.0406,-118.25383799999999,3000,,,6603,30,One Way,Monthly Pass
9624892,711,10/10/2016 21:52,10/11/2016 9:43,3064,34.04681,-118.25698100000001,3000,,,5891,30,One Way,Monthly Pass
9634697,196,10/11/2016 7:52,10/11/2016 11:08,3082,34.04652,-118.23741100000001,3000,,,6403,30,One Way,Monthly Pass
9629620,64,10/11/2016 9:53,10/11/2016 10:57,3068,34.0532,-118.25095400000001,3000,,,5933,30,One Way,Monthly Pass
9681178,308,10/11/2016 15:19,10/11/2016 20:27,3075,34.04211,-118.25618700000001,3000,,,6429,30,One Way,Monthly Pass
9738294,900,10/11/2016 17:39,10/12/2016 8:39,3055,34.044159,-118.251579,3000,,,6407,30,One Way,Monthly Pass
9686475,203,10/11/2016 18:00,10/11/2016 21:23,3082,34.04652,-118.23741100000001,3000,,,6476,1,One Way,Walk-up
9891504,1440,10/11/2016 18:08,10/13/2016 16:10,3008,34.046611999999996,-118.26273300000001,3000,,,6028,1,One Way,Walk-up
9966521,1440,10/12/2016 7:10,10/14/2016 8:54,3032,34.049889,-118.255882,3000,,,6003,365,One Way,Flex Pass
9747420,199,10/12/2016 7:27,10/12/2016 10:46,3058,34.035801,-118.23317,3000,,,6686,365,One Way,Monthly Pass
9761640,28,10/12/2016 12:46,10/12/2016 13:14,3014,34.05661,-118.23721299999998,3000,,,6269,30,One Way,Monthly Pass
9766511,32,10/12/2016 13:44,10/12/2016 14:16,3038,34.046822,-118.248352,3000,,,5901,1,One Way,Walk-up
9791717,61,10/12/2016 18:02,10/12/2016 19:03,3005,34.0485,-118.25853700000002,3000,,,6015,30,One Way,Monthly Pass
9802139,165,10/12/2016 19:11,10/12/2016 21:56,3042,34.049301,-118.238808,3000,,,5900,30,One Way,Monthly Pass
9885742,1173,10/12/2016 19:44,10/13/2016 15:17,3063,34.048038,-118.25373799999998,3000,,,5788,30,One Way,Monthly Pass
9895440,487,10/13/2016 9:23,10/13/2016 17:30,3026,34.063179,-118.24588,3000,,,6369,30,One Way,Monthly Pass
9895194,185,10/13/2016 14:20,10/13/2016 17:25,3069,34.05088,-118.248253,3000,,,6621,30,One Way,Monthly Pass
9983158,946,10/13/2016 20:30,10/14/2016 12:16,3064,34.04681,-118.25698100000001,3000,,,5949,30,One Way,Monthly Pass
10011406,301,10/14/2016 13:17,10/14/2016 18:18,3049,34.056969,-118.253593,3000,,,6619,1,One Way,Walk-up
10006451,197,10/14/2016 14:28,10/14/2016 17:45,3069,34.05088,-118.248253,3000,,,5780,1,One Way,Walk-up
10011174,29,10/14/2016 17:58,10/14/2016 18:27,3059,34.037949,-118.256271,3000,,,6494,30,One Way,Monthly Pass
10107636,245,10/15/2016 11:22,10/15/2016 15:27,3026,34.063179,-118.24588,3000,,,6313,30,One Way,Monthly Pass
10180926,431,10/16/2016 0:33,10/16/2016 7:44,3082,34.04652,-118.23741100000001,3000,,,6245,1,One Way,Walk-up
10213952,219,10/16/2016 10:42,10/16/2016 14:21,3078,34.064281,-118.238937,3000,,,5830,30,One Way,Monthly Pass
10213755,191,10/16/2016 11:38,10/16/2016 14:49,3078,34.064281,-118.238937,3000,,,6491,1,One Way,Walk-up
10596465,1440,10/16/2016 12:29,10/19/2016 12:13,3040,34.05357,-118.26635700000001,3000,,,6413,1,One Way,Walk-up
10230396,204,10/16/2016 14:34,10/16/2016 17:58,3066,34.063389,-118.23616000000001,3000,,,6162,1,One Way,Walk-up
10236198,200,10/16/2016 15:19,10/16/2016 18:39,3011,34.041129999999995,-118.267982,3000,,,6284,1,One Way,Walk-up
10224341,85,10/16/2016 15:20,10/16/2016 16:45,3031,34.044701,-118.25244099999999,3000,,,6282,365,One Way,Monthly Pass
10224204,23,10/16/2016 16:23,10/16/2016 16:46,3030,34.051941,-118.24353,3000,,,6411,365,One Way,Monthly Pass
10362884,205,10/17/2016 14:32,10/17/2016 17:57,3042,34.049301,-118.238808,3000,,,6057,30,One Way,Monthly Pass
10380013,206,10/17/2016 16:56,10/17/2016 20:22,3048,34.041691,-118.235352,3000,,,6269,1,One Way,Walk-up
10368431,9,10/17/2016 18:18,10/17/2016 18:27,3055,34.044159,-118.251579,3000,,,6207,30,One Way,Monthly Pass
10977692,1440,10/17/2016 18:41,10/22/2016 12:15,3042,34.049301,-118.238808,3000,,,5977,1,One Way,Walk-up
10374123,13,10/17/2016 19:08,10/17/2016 19:21,3023,34.050911,-118.240967,3000,,,6250,30,One Way,Monthly Pass
10374101,2,10/17/2016 19:46,10/17/2016 19:48,3023,34.050911,-118.240967,3000,,,6461,30,One Way,Monthly Pass
10448704,60,10/18/2016 8:42,10/18/2016 9:42,3062,34.047748999999996,-118.243172,3000,,,6441,365,One Way,Monthly Pass
10498051,306,10/18/2016 13:28,10/18/2016 18:34,3051,34.045421999999995,-118.25351699999999,3000,,,6188,30,One Way,Monthly Pass
10515192,199,10/18/2016 18:00,10/18/2016 21:19,3079,34.05014,-118.23323799999999,3000,,,6291,30,One Way,Monthly Pass
10583487,908,10/18/2016 18:58,10/19/2016 10:06,3035,34.048401,-118.260948,3000,,,5972,30,One Way,Monthly Pass
10594165,825,10/18/2016 22:30,10/19/2016 12:15,3068,34.0532,-118.25095400000001,3000,,,6017,1,One Way,Walk-up
10599242,8,10/19/2016 13:38,10/19/2016 13:46,3032,34.049889,-118.255882,3000,,,5966,30,One Way,Monthly Pass
10701578,828,10/19/2016 18:53,10/20/2016 8:41,3030,34.051941,-118.24353,3000,,,6078,30,One Way,Monthly Pass
10743914,458,10/20/2016 8:37,10/20/2016 16:15,3042,34.049301,-118.238808,3000,,,6017,30,One Way,Monthly Pass
10754898,427,10/20/2016 11:08,10/20/2016 18:15,3064,34.04681,-118.25698100000001,3000,,,5755,1,One Way,Walk-up
10856604,875,10/20/2016 23:32,10/21/2016 14:07,3082,34.04652,-118.23741100000001,3000,,,6067,1,One Way,Walk-up
10840497,210,10/21/2016 7:48,10/21/2016 11:18,3042,34.049301,-118.238808,3000,,,6294,30,One Way,Monthly Pass
10850920,6,10/21/2016 13:06,10/21/2016 13:12,3049,34.056969,-118.253593,3000,,,6623,30,One Way,Monthly Pass
10878120,18,10/21/2016 17:51,10/21/2016 18:09,3005,34.0485,-118.25853700000002,3000,,,5966,30,One Way,Monthly Pass
10963950,746,10/21/2016 22:26,10/22/2016 10:52,3067,34.045181,-118.25023700000001,3000,,,6510,30,One Way,Monthly Pass
10948001,20,10/22/2016 7:25,10/22/2016 7:45,3038,34.046822,-118.248352,3000,,,5832,30,One Way,Monthly Pass
10948002,20,10/22/2016 7:25,10/22/2016 7:45,3038,34.046822,-118.248352,3000,,,6183,30,One Way,Monthly Pass
10974555,190,10/22/2016 9:45,10/22/2016 12:55,3011,34.041129999999995,-118.267982,3000,,,6279,1,One Way,Walk-up
10990870,201,10/22/2016 11:45,10/22/2016 15:06,3032,34.049889,-118.255882,3000,,,6461,365,One Way,Flex Pass
11102186,1310,10/22/2016 17:48,10/23/2016 15:38,3036,34.039188,-118.232529,3000,,,6038,1,One Way,Walk-up
11284156,1440,10/23/2016 10:45,10/25/2016 10:15,3082,34.04652,-118.23741100000001,3000,,,5856,1,One Way,Walk-up
11088812,17,10/23/2016 11:43,10/23/2016 12:00,3062,34.047748999999996,-118.243172,3000,,,5958,30,One Way,Monthly Pass
11106144,193,10/23/2016 13:26,10/23/2016 16:39,3074,34.04417,-118.261169,3000,,,5788,1,One Way,Walk-up
11092989,13,10/23/2016 13:34,10/23/2016 13:47,3000,,,3022,34.04607,-118.233093,5958,30,One Way,Monthly Pass
11110566,197,10/23/2016 13:54,10/23/2016 17:11,3005,34.0485,-118.25853700000002,3000,,,6291,1,One Way,Walk-up
11097271,7,10/23/2016 14:39,10/23/2016 14:46,3000,,,3058,34.035801,-118.23317,5914,30,One Way,Monthly Pass
11101634,36,10/23/2016 14:56,10/23/2016 15:32,3022,34.04607,-118.233093,3000,,,6008,1,One Way,Walk-up
11114986,194,10/23/2016 15:44,10/23/2016 18:58,3046,34.053020000000004,-118.247948,3000,,,5992,1,One Way,Walk-up
11106001,14,10/23/2016 16:24,10/23/2016 16:38,3000,,,3022,34.04607,-118.233093,6008,365,One Way,Flex Pass
11114899,16,10/23/2016 18:12,10/23/2016 18:28,3051,34.045421999999995,-118.25351699999999,3000,,,6307,30,One Way,Monthly Pass
11119390,24,10/23/2016 19:16,10/23/2016 19:40,3006,34.04554,-118.25666799999999,3000,,,6319,1,One Way,Walk-up
11119388,23,10/23/2016 19:17,10/23/2016 19:40,3006,34.04554,-118.25666799999999,3000,,,6431,1,One Way,Walk-up
11283795,1440,10/23/2016 19:17,10/25/2016 10:37,3008,34.046611999999996,-118.26273300000001,3000,,,6654,1,One Way,Walk-up
11119386,9,10/23/2016 19:19,10/23/2016 19:28,3008,34.046611999999996,-118.26273300000001,3000,,,6045,30,One Way,Monthly Pass
11287834,1440,10/24/2016 0:47,10/25/2016 11:06,3047,34.039982,-118.266403,3000,,,6139,1,One Way,Walk-up
11291702,1191,10/24/2016 16:49,10/25/2016 12:40,3052,34.051102,-118.26455700000001,3000,,,5863,1,One Way,Walk-up
11216918,38,10/24/2016 18:13,10/24/2016 18:51,3056,34.037459999999996,-118.265381,3000,,,6326,30,One Way,Monthly Pass
11225914,27,10/24/2016 20:18,10/24/2016 20:45,3051,34.045421999999995,-118.25351699999999,3000,,,6635,30,One Way,Monthly Pass
11287289,734,10/24/2016 23:02,10/25/2016 11:16,3051,34.045421999999995,-118.25351699999999,3000,,,5987,1,One Way,Walk-up
11299586,21,10/25/2016 13:51,10/25/2016 14:12,3067,34.045181,-118.25023700000001,3000,,,6332,30,One Way,Monthly Pass
11312442,20,10/25/2016 16:40,10/25/2016 17:00,3038,34.046822,-118.248352,3000,,,5784,365,One Way,Monthly Pass
11312440,20,10/25/2016 16:41,10/25/2016 17:01,3038,34.046822,-118.248352,3000,,,6217,365,One Way,Monthly Pass
11479238,1440,10/25/2016 16:58,10/27/2016 10:09,3060,34.034882,-118.25769,3000,,,6545,1,One Way,Walk-up
11369673,25,10/26/2016 7:34,10/26/2016 7:59,3052,34.051102,-118.26455700000001,3000,,,5936,365,One Way,Monthly Pass
11373560,15,10/26/2016 8:06,10/26/2016 8:21,3082,34.04652,-118.23741100000001,3000,,,6238,365,One Way,Monthly Pass
11427708,212,10/26/2016 18:23,10/26/2016 21:55,3038,34.046822,-118.248352,3000,,,6625,30,One Way,Monthly Pass
11470629,779,10/26/2016 19:03,10/27/2016 8:02,3031,34.044701,-118.25244099999999,3000,,,5847,30,One Way,Monthly Pass
11427608,7,10/26/2016 21:46,10/26/2016 21:53,3075,34.04211,-118.25618700000001,3000,,,6251,30,One Way,Monthly Pass
11490276,189,10/27/2016 10:13,10/27/2016 13:22,3024,34.05772,-118.24897,3000,,,5881,365,One Way,Flex Pass
11490123,19,10/27/2016 13:39,10/27/2016 13:58,3019,34.038609,-118.260857,3000,,,6277,30,One Way,Monthly Pass
11567116,34,10/28/2016 7:40,10/28/2016 8:14,3077,34.039871000000005,-118.25003799999999,3000,,,5829,30,One Way,Monthly Pass
11595008,188,10/28/2016 12:13,10/28/2016 15:21,3047,34.039982,-118.266403,3000,,,5974,30,One Way,Monthly Pass
11684908,190,10/29/2016 10:42,10/29/2016 13:52,3037,34.034801,-118.231277,3000,,,6476,365,One Way,Flex Pass
11710556,187,10/29/2016 16:22,10/29/2016 19:29,3007,34.05048,-118.254593,3000,,,6451,1,One Way,Walk-up
11714860,22,10/29/2016 19:40,10/29/2016 20:02,3031,34.044701,-118.25244099999999,3000,,,6363,30,One Way,Monthly Pass
11760247,647,10/29/2016 22:06,10/30/2016 8:53,3048,34.041691,-118.235352,3000,,,5847,30,One Way,Monthly Pass
11997636,1440,10/30/2016 13:07,11/1/2016 17:10,3027,34.04998,-118.24716200000002,3000,,,6062,30,One Way,Monthly Pass
11814853,244,10/30/2016 17:00,10/30/2016 21:04,3037,34.034801,-118.231277,3000,,,5733,365,One Way,Monthly Pass
12067091,1440,10/30/2016 18:27,11/2/2016 9:50,3063,34.048038,-118.25373799999998,3000,,,6218,1,One Way,Walk-up
12067089,1440,10/30/2016 18:30,11/2/2016 9:58,3063,34.048038,-118.25373799999998,3000,,,6616,1,One Way,Walk-up
11854472,560,10/30/2016 22:06,10/31/2016 7:26,3047,34.039982,-118.266403,3000,,,5778,1,One Way,Walk-up
11870479,797,10/30/2016 22:41,10/31/2016 11:58,3031,34.044701,-118.25244099999999,3000,,,5974,1,One Way,Walk-up
11858345,26,10/31/2016 7:48,10/31/2016 8:14,3052,34.051102,-118.26455700000001,3000,,,5848,365,One Way,Monthly Pass
11858316,2,10/31/2016 8:25,10/31/2016 8:27,3066,34.063389,-118.23616000000001,3000,,,6101,365,One Way,Monthly Pass
11866302,74,10/31/2016 9:02,10/31/2016 10:16,3062,34.047748999999996,-118.243172,3000,,,6437,365,One Way,Monthly Pass
11866262,23,10/31/2016 10:08,10/31/2016 10:31,3014,34.05661,-118.23721299999998,3000,,,5770,30,One Way,Monthly Pass
11891180,196,10/31/2016 13:03,10/31/2016 16:19,3049,34.056969,-118.253593,3000,,,5999,1,One Way,Walk-up
11878440,9,10/31/2016 13:23,10/31/2016 13:32,3055,34.044159,-118.251579,3000,,,5977,30,One Way,Monthly Pass
11882626,34,10/31/2016 13:31,10/31/2016 14:05,3055,34.044159,-118.251579,3000,,,5824,1,One Way,Walk-up
12001681,1440,10/31/2016 15:08,11/1/2016 18:54,3042,34.049301,-118.238808,3000,,,5816,1,One Way,Walk-up
11982841,335,11/1/2016 9:11,11/1/2016 14:46,3029,34.048851,-118.246422,3000,,,5997,365,One Way,Monthly Pass
11961155,12,11/1/2016 9:26,11/1/2016 9:38,3076,34.0406,-118.25383799999999,3000,,,5974,30,One Way,Monthly Pass
11965294,16,11/1/2016 10:36,11/1/2016 10:52,3064,34.04681,-118.25698100000001,3000,,,6610,1,One Way,Walk-up
11991644,237,11/1/2016 12:32,11/1/2016 16:29,3031,34.044701,-118.25244099999999,3000,,,6025,1,One Way,Walk-up
12005428,193,11/1/2016 16:07,11/1/2016 19:20,3037,34.034801,-118.231277,3000,,,6032,365,One Way,Monthly Pass
12010099,192,11/1/2016 17:17,11/1/2016 20:29,3006,34.04554,-118.25666799999999,3000,,,6244,30,One Way,Monthly Pass
12056963,25,11/2/2016 7:18,11/2/2016 7:43,3052,34.051102,-118.26455700000001,3000,,,6005,365,One Way,Monthly Pass
12069698,185,11/2/2016 7:50,11/2/2016 10:55,3027,34.04998,-118.24716200000002,3000,,,5838,1,One Way,Walk-up
12168581,1439,11/2/2016 8:34,11/3/2016 8:33,3062,34.047748999999996,-118.243172,3000,,,6527,365,One Way,Monthly Pass
12087338,218,11/2/2016 10:34,11/2/2016 14:12,3064,34.04681,-118.25698100000001,3000,,,5974,30,One Way,Monthly Pass
12082701,36,11/2/2016 12:40,11/2/2016 13:16,3006,34.04554,-118.25666799999999,3000,,,5764,30,One Way,Monthly Pass
12105667,78,11/2/2016 16:58,11/2/2016 18:16,3027,34.04998,-118.24716200000002,3000,,,5999,30,One Way,Monthly Pass
12120078,188,11/2/2016 18:46,11/2/2016 21:54,3069,34.05088,-118.248253,3000,,,5957,1,One Way,Walk-up
12115126,4,11/2/2016 20:54,11/2/2016 20:58,3064,34.04681,-118.25698100000001,3000,,,6547,30,One Way,Monthly Pass
12180974,182,11/3/2016 8:28,11/3/2016 11:30,3066,34.063389,-118.23616000000001,3000,,,6019,30,One Way,Monthly Pass
12180964,200,11/3/2016 8:33,11/3/2016 11:53,3062,34.047748999999996,-118.243172,3000,,,6654,365,One Way,Monthly Pass
12227457,243,11/3/2016 17:21,11/3/2016 21:24,3027,34.04998,-118.24716200000002,3000,,,6308,365,One Way,Flex Pass
12271071,552,11/3/2016 22:47,11/4/2016 7:59,3064,34.04681,-118.25698100000001,3000,,,6639,1,One Way,Walk-up
