trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
17139540,79680,1/1/2017 12:40,1/2/2017 10:48,3022,34.04607,-118.233093,3000,,,5811,0.0,One Way,Walk-up
17139539,79500,1/1/2017 12:41,1/2/2017 10:46,3022,34.04607,-118.233093,3000,,,6509,0.0,One Way,Walk-up
17106183,2220,1/1/2017 20:13,1/1/2017 20:50,3049,34.056969,-118.253593,3000,,,6503,0.0,One Way,Walk-up
17141657,12360,1/2/2017 7:43,1/2/2017 11:09,3066,34.063389,-118.23616000000001,3000,,,6496,30.0,One Way,Monthly Pass
17156555,15600,1/2/2017 12:43,1/2/2017 17:03,3007,34.05048,-118.254593,3000,,,6146,30.0,One Way,Monthly Pass
17164259,780,1/2/2017 20:08,1/2/2017 20:21,3052,34.051102,-118.26455700000001,3000,,,5826,30.0,One Way,Monthly Pass
17208880,12240,1/3/2017 11:59,1/3/2017 15:23,3057,34.035678999999995,-118.27081299999999,3000,,,6238,0.0,One Way,Walk-up
17216559,15540,1/3/2017 13:47,1/3/2017 18:06,3031,34.044701,-118.25244099999999,3000,,,6636,0.0,One Way,Walk-up
17245481,75540,1/3/2017 13:55,1/4/2017 10:54,3048,34.041691,-118.235352,3000,,,6479,0.0,One Way,Walk-up
17245433,68580,1/3/2017 15:48,1/4/2017 10:51,3074,34.04417,-118.261169,3000,,,6289,0.0,One Way,Walk-up
17245236,11040,1/4/2017 7:17,1/4/2017 10:21,3066,34.063389,-118.23616000000001,3000,,,5777,30.0,One Way,Monthly Pass
17240611,420,1/4/2017 8:17,1/4/2017 8:24,3047,34.039982,-118.266403,3000,,,6120,30.0,One Way,Monthly Pass
17247568,11040,1/4/2017 8:41,1/4/2017 11:45,3055,34.044159,-118.251579,3000,,,6274,30.0,One Way,Monthly Pass
17384126,86400,1/4/2017 12:09,1/6/2017 19:14,3048,34.041691,-118.235352,3000,,,6024,0.0,One Way,Walk-up
